"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1197","20200121","-2.2","0","3"
"TMK_MN004","1197","20200122","-2.9","0","3"
"TMK_MN004","1197","20200123","-1.9","0","3"
"TMK_MN004","1197","20200124","-0.1","0","3"
"TMK_MN004","1197","20200125","1","0","3"
"TMK_MN004","1197","20200126","1.5","0","3"
"TMK_MN004","1197","20200127","3.5","0","3"
"TMK_MN004","1197","20200128","3.3","0","3"
"TMK_MN004","1197","20200129","1.2","0","3"
"TMK_MN004","1197","20200130","4.8","0","3"
"TMK_MN004","1197","20200131","10","0","3"
"TMK_MN004","1197","20200201","10.2","0","3"
"TMK_MN004","1197","20200202","9.1","0","3"
"TMK_MN004","1197","20200203","6.6","0","3"
"TMK_MN004","1197","20200204","3.5","0","3"
"TMK_MN004","1197","20200205","1.1","0","3"
"TMK_MN004","1197","20200206","-0.7","0","3"
"TMK_MN004","1197","20200207","-0.2","0","3"
"TMK_MN004","1197","20200208","1.3","0","3"
"TMK_MN004","1197","20200209","5.7","0","3"
"TMK_MN004","1197","20200210","8.4","0","3"
"TMK_MN004","1197","20200211","3.5","0","3"
"TMK_MN004","1197","20200212","2","0","3"
"TMK_MN004","1197","20200213","2.6","0","3"
"TMK_MN004","1197","20200214","4.7","0","3"
"TMK_MN004","1197","20200215","4.7","0","3"
"TMK_MN004","1197","20200216","10.1","0","3"
"TMK_MN004","1197","20200217","8.5","0","3"
"TMK_MN004","1197","20200218","4.5","0","3"
"TMK_MN004","1197","20200219","3.1","0","3"
"TMK_MN004","1197","20200220","4.2","0","3"
"TMK_MN004","1197","20200221","4.1","0","3"
"TMK_MN004","1197","20200222","6.6","0","3"
"TMK_MN004","1197","20200223","9.2","0","3"
"TMK_MN004","1197","20200224","6.4","0","3"
"TMK_MN004","1197","20200225","6.2","0","3"
"TMK_MN004","1197","20200226","1.3","0","3"
"TMK_MN004","1197","20200227","0.9","0","3"
"TMK_MN004","1197","20200228","2","0","3"
"TMK_MN004","1197","20200229","6.9","0","3"
"TMK_MN004","1197","20200301","7.4","0","3"
"TMK_MN004","1197","20200302","5.1","0","3"
"TMK_MN004","1197","20200303","2.4","0","3"
"TMK_MN004","1197","20200304","1.8","0","3"
"TMK_MN004","1197","20200305","3.6","0","3"
"TMK_MN004","1197","20200306","4.3","0","3"
"TMK_MN004","1197","20200307","2.8","0","3"
"TMK_MN004","1197","20200308","4.3","0","3"
"TMK_MN004","1197","20200309","4.9","0","3"
"TMK_MN004","1197","20200310","5","0","3"
"TMK_MN004","1197","20200311","11.5","0","3"
"TMK_MN004","1197","20200312","10.5","0","3"
"TMK_MN004","1197","20200313","5.7","0","3"
"TMK_MN004","1197","20200314","2.6","0","3"
"TMK_MN004","1197","20200315","5.9","0","3"
"TMK_MN004","1197","20200316","8.3","0","3"
"TMK_MN004","1197","20200317","9.4","0","3"
"TMK_MN004","1197","20200318","9.2","0","3"
"TMK_MN004","1197","20200319","10.5","0","3"
"TMK_MN004","1197","20200320","9.7","0","3"
"TMK_MN004","1197","20200321","2.5","0","3"
"TMK_MN004","1197","20200322","0.9","0","3"
"TMK_MN004","1197","20200323","0.1","0","3"
"TMK_MN004","1197","20200324","1.1","0","3"
"TMK_MN004","1197","20200325","1.5","0","3"
"TMK_MN004","1197","20200326","2.5","0","3"
"TMK_MN004","1197","20200327","7","0","3"
"TMK_MN004","1197","20200328","7.7","0","3"
"TMK_MN004","1197","20200329","2.3","0","3"
"TMK_MN004","1197","20200330","0.5","0","3"
"TMK_MN004","1197","20200331","0.1","0","3"
"TMK_MN004","1197","20200401","1.5","0","3"
"TMK_MN004","1197","20200402","4.2","0","3"
"TMK_MN004","1197","20200403","5.2","0","3"
"TMK_MN004","1197","20200404","6.4","0","3"
"TMK_MN004","1197","20200405","9.1","0","3"
"TMK_MN004","1197","20200406","10.3","0","3"
"TMK_MN004","1197","20200407","12.2","0","3"
"TMK_MN004","1197","20200408","12.1","0","3"
"TMK_MN004","1197","20200409","12.3","0","3"
"TMK_MN004","1197","20200410","12.1","0","3"
"TMK_MN004","1197","20200411","11.6","0","3"
"TMK_MN004","1197","20200412","13","0","3"
"TMK_MN004","1197","20200413","9.1","0","3"
"TMK_MN004","1197","20200414","1.8","0","3"
"TMK_MN004","1197","20200415","6.5","0","3"
"TMK_MN004","1197","20200416","11.7","0","3"
"TMK_MN004","1197","20200417","14.5","0","3"
"TMK_MN004","1197","20200418","15","0","3"
"TMK_MN004","1197","20200419","13.1","0","1"
"TMK_MN004","1197","20200420","11.7","0","1"
"TMK_MN004","1197","20200421","12.8","0","1"
"TMK_MN004","1197","20200422","13.9","0","1"
"TMK_MN004","1197","20200423","12.3","0","1"
"TMK_MN004","1197","20200424","13","0","1"
"TMK_MN004","1197","20200425","11.1","0","1"
"TMK_MN004","1197","20200426","11.3","0","1"
"TMK_MN004","1197","20200427","14.2","0","1"
"TMK_MN004","1197","20200428","11.8","0","1"
"TMK_MN004","1197","20200429","11.3","0","1"
"TMK_MN004","1197","20200430","11","0","1"
"TMK_MN004","1197","20200501","9.8","0","1"
"TMK_MN004","1197","20200502","8.5","0","1"
"TMK_MN004","1197","20200503","10","0","1"
"TMK_MN004","1197","20200504","10.5","0","1"
"TMK_MN004","1197","20200505","9.2","0","1"
"TMK_MN004","1197","20200506","8.1","0","1"
"TMK_MN004","1197","20200507","11.8","0","1"
"TMK_MN004","1197","20200508","15.8","0","1"
"TMK_MN004","1197","20200509","16.6","0","1"
"TMK_MN004","1197","20200510","16.5","0","1"
"TMK_MN004","1197","20200511","8.3","0","1"
"TMK_MN004","1197","20200512","5.2","0","1"
"TMK_MN004","1197","20200513","6.5","0","1"
"TMK_MN004","1197","20200514","9","0","1"
"TMK_MN004","1197","20200515","10.4","0","1"
"TMK_MN004","1197","20200516","11","0","1"
"TMK_MN004","1197","20200517","12","0","1"
"TMK_MN004","1197","20200518","14","0","1"
"TMK_MN004","1197","20200519","16.6","0","1"
"TMK_MN004","1197","20200520","15.1","0","1"
"TMK_MN004","1197","20200521","16.2","0","1"
"TMK_MN004","1197","20200522","18.4","0","1"
"TMK_MN004","1197","20200523","12.4","0","1"
"TMK_MN004","1197","20200524","12","0","1"
"TMK_MN004","1197","20200525","13.2","0","1"
"TMK_MN004","1197","20200526","11.2","0","1"
"TMK_MN004","1197","20200527","13.5","0","1"
"TMK_MN004","1197","20200528","13.4","0","1"
"TMK_MN004","1197","20200529","12.1","0","1"
"TMK_MN004","1197","20200530","12","0","1"
"TMK_MN004","1197","20200531","14.3","0","1"
"TMK_MN004","1197","20200601","16.9","0","1"
"TMK_MN004","1197","20200602","17.8","0","1"
"TMK_MN004","1197","20200603","15.8","0","1"
"TMK_MN004","1197","20200604","13.8","0","1"
"TMK_MN004","1197","20200605","11.1","0","1"
"TMK_MN004","1197","20200606","11","0","1"
"TMK_MN004","1197","20200607","11.4","0","1"
"TMK_MN004","1197","20200608","12.9","0","1"
"TMK_MN004","1197","20200609","12.4","0","1"
"TMK_MN004","1197","20200610","12","0","1"
"TMK_MN004","1197","20200611","12.8","0","1"
"TMK_MN004","1197","20200612","17.9","0","1"
"TMK_MN004","1197","20200613","19","0","1"
"TMK_MN004","1197","20200614","14.7","0","1"
"TMK_MN004","1197","20200615","14.2","0","1"
"TMK_MN004","1197","20200616","15.1","0","1"
"TMK_MN004","1197","20200617","16.1","0","1"
"TMK_MN004","1197","20200618","16.1","0","1"
"TMK_MN004","1197","20200619","15.6","0","1"
"TMK_MN004","1197","20200620","16.3","0","1"
"TMK_MN004","1197","20200621","17.3","0","1"
"TMK_MN004","1197","20200622","18.7","0","1"
"TMK_MN004","1197","20200623","18.5","0","1"
"TMK_MN004","1197","20200624","18.7","0","1"
"TMK_MN004","1197","20200625","18.1","0","1"
"TMK_MN004","1197","20200626","19.7","0","1"
"TMK_MN004","1197","20200627","19.5","0","1"
"TMK_MN004","1197","20200628","18.4","0","1"
"TMK_MN004","1197","20200629","16.6","0","1"
"TMK_MN004","1197","20200630","16.9","0","1"
"TMK_MN004","1214","20200121","-0.9","0","3"
"TMK_MN004","1214","20200122","-2.7","0","3"
"TMK_MN004","1214","20200123","-2.6","0","3"
"TMK_MN004","1214","20200124","0.7","0","3"
"TMK_MN004","1214","20200125","3.3","0","3"
"TMK_MN004","1214","20200126","3.8","0","3"
"TMK_MN004","1214","20200127","7","0","3"
"TMK_MN004","1214","20200128","4.9","0","3"
"TMK_MN004","1214","20200129","2.9","0","3"
"TMK_MN004","1214","20200130","6.7","0","3"
"TMK_MN004","1214","20200131","11.7","0","3"
"TMK_MN004","1214","20200201","11.5","0","3"
"TMK_MN004","1214","20200202","10.8","0","3"
"TMK_MN004","1214","20200203","10.1","0","3"
"TMK_MN004","1214","20200204","3.3","0","3"
"TMK_MN004","1214","20200205","1.1","0","3"
"TMK_MN004","1214","20200206","-0.6","0","3"
"TMK_MN004","1214","20200207","0.1","0","3"
"TMK_MN004","1214","20200208","2.1","0","3"
"TMK_MN004","1214","20200209","8.6","0","3"
"TMK_MN004","1214","20200210","9.9","0","3"
"TMK_MN004","1214","20200211","3.6","0","3"
"TMK_MN004","1214","20200212","3.4","0","3"
"TMK_MN004","1214","20200213","3.9","0","3"
"TMK_MN004","1214","20200214","4.9","0","3"
"TMK_MN004","1214","20200215","4.6","0","3"
"TMK_MN004","1214","20200216","13.9","0","3"
"TMK_MN004","1214","20200217","9.5","0","3"
"TMK_MN004","1214","20200218","5.5","0","3"
"TMK_MN004","1214","20200219","3.6","0","3"
"TMK_MN004","1214","20200220","6.9","0","3"
"TMK_MN004","1214","20200221","3.4","0","3"
"TMK_MN004","1214","20200222","6","0","3"
"TMK_MN004","1214","20200223","10.5","0","3"
"TMK_MN004","1214","20200224","11.3","0","3"
"TMK_MN004","1214","20200225","7.6","0","3"
"TMK_MN004","1214","20200226","1.3","0","3"
"TMK_MN004","1214","20200227","2.2","0","3"
"TMK_MN004","1214","20200228","4.2","0","3"
"TMK_MN004","1214","20200229","8.8","0","3"
"TMK_MN004","1214","20200301","8.2","0","3"
"TMK_MN004","1214","20200302","5","0","3"
"TMK_MN004","1214","20200303","3.2","0","3"
"TMK_MN004","1214","20200304","2.8","0","3"
"TMK_MN004","1214","20200305","6.2","0","3"
"TMK_MN004","1214","20200306","4.1","0","3"
"TMK_MN004","1214","20200307","2.9","0","3"
"TMK_MN004","1214","20200308","4.1","0","3"
