"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1103","20200121","-3.1","0","3"
"TMK_MN004","1103","20200122","-3.9","0","3"
"TMK_MN004","1103","20200123","-3.2","0","3"
"TMK_MN004","1103","20200124","-0.9","0","3"
"TMK_MN004","1103","20200125","1.7","0","3"
"TMK_MN004","1103","20200126","3.1","0","3"
"TMK_MN004","1103","20200127","4.7","0","3"
"TMK_MN004","1103","20200128","3.1","0","3"
"TMK_MN004","1103","20200129","1.3","0","3"
"TMK_MN004","1103","20200130","4","0","3"
"TMK_MN004","1103","20200131","10.1","0","3"
"TMK_MN004","1103","20200201","8.9","0","3"
"TMK_MN004","1103","20200202","9.4","0","3"
"TMK_MN004","1103","20200203","5.2","0","3"
"TMK_MN004","1103","20200204","3.5","0","3"
"TMK_MN004","1103","20200205","0.1","0","3"
"TMK_MN004","1103","20200206","-0.1","0","3"
"TMK_MN004","1103","20200207","-0.9","0","3"
"TMK_MN004","1103","20200208","1.5","0","3"
"TMK_MN004","1103","20200209","4.4","0","3"
"TMK_MN004","1103","20200210","8.7","0","3"
"TMK_MN004","1103","20200211","2.5","0","3"
"TMK_MN004","1103","20200212","2.5","0","3"
"TMK_MN004","1103","20200213","3.3","0","3"
"TMK_MN004","1103","20200214","4.6","0","3"
"TMK_MN004","1103","20200215","4.2","0","3"
"TMK_MN004","1103","20200216","8.2","0","3"
"TMK_MN004","1103","20200217","10.4","0","3"
"TMK_MN004","1103","20200218","5.4","0","3"
"TMK_MN004","1103","20200219","2.9","0","3"
"TMK_MN004","1103","20200220","3.6","0","3"
"TMK_MN004","1103","20200221","4.6","0","3"
"TMK_MN004","1103","20200222","9.2","0","3"
"TMK_MN004","1103","20200223","11.5","0","3"
"TMK_MN004","1103","20200224","4.5","0","3"
"TMK_MN004","1103","20200225","8.6","0","3"
"TMK_MN004","1103","20200226","2","0","3"
"TMK_MN004","1103","20200227","1.3","0","3"
"TMK_MN004","1103","20200228","0.7","0","3"
"TMK_MN004","1103","20200229","6.4","0","3"
"TMK_MN004","1103","20200301","6.3","0","3"
"TMK_MN004","1103","20200302","5.5","0","3"
"TMK_MN004","1103","20200303","2.5","0","3"
"TMK_MN004","1103","20200304","2.6","0","3"
"TMK_MN004","1103","20200305","3","0","3"
"TMK_MN004","1103","20200306","5.5","0","3"
"TMK_MN004","1103","20200307","2.5","0","3"
"TMK_MN004","1103","20200308","3.8","0","3"
"TMK_MN004","1103","20200309","4.7","0","3"
"TMK_MN004","1103","20200310","4.2","0","3"
"TMK_MN004","1103","20200311","11.8","0","3"
"TMK_MN004","1103","20200312","11.1","0","3"
"TMK_MN004","1103","20200313","5.4","0","3"
"TMK_MN004","1103","20200314","4.5","0","3"
"TMK_MN004","1103","20200315","5","0","3"
"TMK_MN004","1103","20200316","9.3","0","3"
"TMK_MN004","1103","20200317","9","0","3"
"TMK_MN004","1103","20200318","10.4","0","3"
"TMK_MN004","1103","20200319","11","0","3"
"TMK_MN004","1103","20200320","11.7","0","3"
"TMK_MN004","1103","20200321","3.3","0","3"
"TMK_MN004","1103","20200322","-0.4","0","3"
"TMK_MN004","1103","20200323","-1.9","0","3"
"TMK_MN004","1103","20200324","-1.2","0","3"
"TMK_MN004","1103","20200325","-0.5","0","3"
"TMK_MN004","1103","20200326","1.1","0","3"
"TMK_MN004","1103","20200327","8.1","0","3"
"TMK_MN004","1103","20200328","8.2","0","3"
"TMK_MN004","1103","20200329","5.1","0","3"
"TMK_MN004","1103","20200330","-0.5","0","3"
"TMK_MN004","1103","20200331","-0.4","0","3"
"TMK_MN004","1103","20200401","1.8","0","3"
"TMK_MN004","1103","20200402","5.6","0","3"
"TMK_MN004","1103","20200403","6.9","0","3"
"TMK_MN004","1103","20200404","8.1","0","3"
"TMK_MN004","1103","20200405","9.1","0","3"
"TMK_MN004","1103","20200406","12.7","0","3"
"TMK_MN004","1103","20200407","14.1","0","3"
"TMK_MN004","1103","20200408","14.2","0","3"
"TMK_MN004","1103","20200409","14.9","0","3"
"TMK_MN004","1103","20200410","14","0","3"
"TMK_MN004","1103","20200411","13.8","0","3"
