"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","400","20200121","2.7","0","3"
"TMK_MN004","400","20200122","4.3","0","3"
"TMK_MN004","400","20200123","3.6","0","3"
"TMK_MN004","400","20200124","0.3","0","3"
"TMK_MN004","400","20200125","1","0","3"
"TMK_MN004","400","20200126","-0.3","0","3"
"TMK_MN004","400","20200127","4.6","0","3"
"TMK_MN004","400","20200128","5.5","0","3"
"TMK_MN004","400","20200129","4.6","0","3"
"TMK_MN004","400","20200130","5.7","0","3"
"TMK_MN004","400","20200131","9.6","0","3"
"TMK_MN004","400","20200201","11","0","3"
"TMK_MN004","400","20200202","6.9","0","3"
"TMK_MN004","400","20200203","7","0","3"
"TMK_MN004","400","20200204","5","0","3"
"TMK_MN004","400","20200205","3.1","0","3"
"TMK_MN004","400","20200206","4.5","0","3"
"TMK_MN004","400","20200207","5.5","0","3"
"TMK_MN004","400","20200208","4.8","0","3"
"TMK_MN004","400","20200209","9.3","0","3"
"TMK_MN004","400","20200210","6.9","0","3"
"TMK_MN004","400","20200211","4.8","0","3"
"TMK_MN004","400","20200212","4.4","0","3"
"TMK_MN004","400","20200213","3.7","0","3"
"TMK_MN004","400","20200214","3.7","0","3"
"TMK_MN004","400","20200215","5.6","0","3"
"TMK_MN004","400","20200216","11.5","0","3"
"TMK_MN004","400","20200217","9.6","0","3"
"TMK_MN004","400","20200218","6.9","0","3"
"TMK_MN004","400","20200219","4.9","0","3"
"TMK_MN004","400","20200220","4.8","0","3"
"TMK_MN004","400","20200221","6","0","3"
"TMK_MN004","400","20200222","8.5","0","3"
"TMK_MN004","400","20200223","6.5","0","3"
"TMK_MN004","400","20200224","5","0","3"
"TMK_MN004","400","20200225","7.9","0","3"
"TMK_MN004","400","20200226","3.1","0","3"
"TMK_MN004","400","20200227","3.1","0","3"
"TMK_MN004","400","20200228","3.6","0","3"
"TMK_MN004","400","20200229","6.6","0","3"
"TMK_MN004","400","20200301","6.8","0","3"
"TMK_MN004","400","20200302","5.5","0","3"
"TMK_MN004","400","20200303","4.6","0","3"
"TMK_MN004","400","20200304","4.1","0","3"
"TMK_MN004","400","20200305","5","0","3"
"TMK_MN004","400","20200306","4.8","0","3"
"TMK_MN004","400","20200307","4.1","0","3"
"TMK_MN004","400","20200308","4.8","0","3"
"TMK_MN004","400","20200309","6.8","0","3"
"TMK_MN004","400","20200310","6.2","0","3"
"TMK_MN004","400","20200311","9.8","0","3"
"TMK_MN004","400","20200312","9.8","0","3"
"TMK_MN004","400","20200313","6.1","0","3"
"TMK_MN004","400","20200314","2.7","0","3"
"TMK_MN004","400","20200315","5.6","0","3"
"TMK_MN004","400","20200316","8.6","0","3"
"TMK_MN004","400","20200317","8.8","0","3"
"TMK_MN004","400","20200318","11.4","0","3"
"TMK_MN004","400","20200319","10.6","0","3"
"TMK_MN004","400","20200320","7.4","0","3"
"TMK_MN004","400","20200321","3.8","0","3"
"TMK_MN004","400","20200322","1.2","0","3"
"TMK_MN004","400","20200323","0.9","0","3"
"TMK_MN004","400","20200324","1.9","0","3"
"TMK_MN004","400","20200325","4","0","3"
"TMK_MN004","400","20200326","6","0","3"
"TMK_MN004","400","20200327","9.2","0","3"
"TMK_MN004","400","20200328","7.6","0","3"
"TMK_MN004","400","20200329","2.6","0","3"
"TMK_MN004","400","20200330","-0.3","0","3"
"TMK_MN004","400","20200331","1","0","3"
"TMK_MN004","400","20200401","4.5","0","3"
"TMK_MN004","400","20200402","7","0","3"
"TMK_MN004","400","20200403","6.6","0","3"
"TMK_MN004","400","20200404","7.1","0","3"
"TMK_MN004","400","20200405","9.6","0","3"
"TMK_MN004","400","20200406","13","0","3"
"TMK_MN004","400","20200407","12.9","0","3"
"TMK_MN004","400","20200408","13.1","0","3"
"TMK_MN004","400","20200409","11.3","0","3"
"TMK_MN004","400","20200410","8.8","0","3"
"TMK_MN004","400","20200411","8.2","0","3"
"TMK_MN004","400","20200412","13.5","0","3"
"TMK_MN004","400","20200413","7.6","0","3"
