"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1001","20200121","0","0","3"
"TMK_MN004","1001","20200122","1.3","0","3"
"TMK_MN004","1001","20200123","1.8","0","3"
"TMK_MN004","1001","20200124","-1.2","0","3"
"TMK_MN004","1001","20200125","-0.8","0","3"
"TMK_MN004","1001","20200126","0.1","0","3"
"TMK_MN004","1001","20200127","5.1","0","3"
"TMK_MN004","1001","20200128","5.7","0","3"
"TMK_MN004","1001","20200129","4.4","0","3"
"TMK_MN004","1001","20200130","5.6","0","3"
"TMK_MN004","1001","20200131","10.8","0","3"
"TMK_MN004","1001","20200201","11","0","3"
"TMK_MN004","1001","20200202","7.3","0","3"
"TMK_MN004","1001","20200203","7.8","0","3"
"TMK_MN004","1001","20200204","4.8","0","3"
"TMK_MN004","1001","20200205","2.7","0","3"
"TMK_MN004","1001","20200206","3.4","0","3"
"TMK_MN004","1001","20200207","4.6","0","3"
"TMK_MN004","1001","20200208","2.9","0","3"
"TMK_MN004","1001","20200209","8.4","0","3"
"TMK_MN004","1001","20200210","8","0","3"
"TMK_MN004","1001","20200211","4.6","0","3"
"TMK_MN004","1001","20200212","4.3","0","3"
"TMK_MN004","1001","20200213","3.8","0","3"
"TMK_MN004","1001","20200214","4.4","0","3"
"TMK_MN004","1001","20200215","5.2","0","3"
"TMK_MN004","1001","20200216","12.1","0","3"
"TMK_MN004","1001","20200217","10","0","3"
"TMK_MN004","1001","20200218","6.9","0","3"
"TMK_MN004","1001","20200219","5.3","0","3"
"TMK_MN004","1001","20200220","5.1","0","3"
"TMK_MN004","1001","20200221","5.8","0","3"
"TMK_MN004","1001","20200222","8.2","0","3"
"TMK_MN004","1001","20200223","8","0","3"
"TMK_MN004","1001","20200224","5.7","0","3"
"TMK_MN004","1001","20200225","8.2","0","3"
"TMK_MN004","1001","20200226","3.3","0","3"
"TMK_MN004","1001","20200227","3.1","0","3"
"TMK_MN004","1001","20200228","3.2","0","3"
"TMK_MN004","1001","20200229","6.4","0","3"
"TMK_MN004","1001","20200301","6.6","0","3"
"TMK_MN004","1001","20200302","5.6","0","3"
"TMK_MN004","1001","20200303","4.3","0","3"
"TMK_MN004","1001","20200304","3.7","0","3"
"TMK_MN004","1001","20200305","5.1","0","3"
"TMK_MN004","1001","20200306","6.5","0","3"
"TMK_MN004","1001","20200307","4.2","0","3"
"TMK_MN004","1001","20200308","5.3","0","3"
"TMK_MN004","1001","20200309","6.6","0","3"
"TMK_MN004","1001","20200310","6.2","0","3"
"TMK_MN004","1001","20200311","10.1","0","3"
"TMK_MN004","1001","20200312","10","0","3"
"TMK_MN004","1001","20200313","6.7","0","3"
"TMK_MN004","1001","20200314","2.5","0","3"
"TMK_MN004","1001","20200315","4.8","0","3"
"TMK_MN004","1001","20200316","7.8","0","3"
"TMK_MN004","1001","20200317","7","0","3"
"TMK_MN004","1001","20200318","10.1","0","3"
"TMK_MN004","1001","20200319","9.4","0","3"
"TMK_MN004","1001","20200320","6.4","0","3"
"TMK_MN004","1001","20200321","3.4","0","3"
"TMK_MN004","1001","20200322","0.1","0","3"
"TMK_MN004","1001","20200323","-0.9","0","3"
"TMK_MN004","1001","20200324","0.6","0","3"
"TMK_MN004","1001","20200325","2.6","0","3"
"TMK_MN004","1001","20200326","4.1","0","3"
"TMK_MN004","1001","20200327","7.4","0","3"
"TMK_MN004","1001","20200328","6.1","0","3"
"TMK_MN004","1001","20200329","2.1","0","3"
"TMK_MN004","1001","20200330","0","0","3"
"TMK_MN004","1001","20200331","0.7","0","3"
"TMK_MN004","1001","20200401","2","0","3"
"TMK_MN004","1001","20200402","4.7","0","3"
"TMK_MN004","1001","20200403","7.1","0","3"
"TMK_MN004","1001","20200404","6.1","0","3"
"TMK_MN004","1001","20200405","8.4","0","3"
"TMK_MN004","1001","20200406","11.9","0","3"
"TMK_MN004","1001","20200407","13.2","0","3"
"TMK_MN004","1001","20200408","12.8","0","3"
"TMK_MN004","1001","20200409","10.2","0","3"
"TMK_MN004","1001","20200410","9","0","3"
"TMK_MN004","1001","20200411","7.7","0","3"
"TMK_MN004","1001","20200412","13.1","0","3"
"TMK_MN004","1001","20200413","8.1","0","3"
"TMK_MN004","1001","20200414","5.4","0","3"
"TMK_MN004","1001","20200415","8.3","0","3"
"TMK_MN004","1001","20200416","11.1","0","3"
"TMK_MN004","1001","20200417","9.6","0","3"
"TMK_MN004","1001","20200418","10.4","0","3"
"TMK_MN004","1001","20200419","9.2","0","1"
"TMK_MN004","1001","20200420","8.4","0","1"
"TMK_MN004","1001","20200421","11.1","0","1"
"TMK_MN004","1001","20200422","11.5","0","1"
"TMK_MN004","1001","20200423","12.2","0","1"
"TMK_MN004","1001","20200424","13.1","0","1"
"TMK_MN004","1001","20200425","10.2","0","1"
"TMK_MN004","1001","20200426","11.1","0","1"
"TMK_MN004","1001","20200427","12.9","0","1"
"TMK_MN004","1001","20200428","16.6","0","1"
"TMK_MN004","1001","20200429","13.9","0","1"
"TMK_MN004","1001","20200430","13.7","0","1"
"TMK_MN004","1001","20200501","13.4","0","1"
"TMK_MN004","1001","20200502","9.6","0","1"
"TMK_MN004","1001","20200503","9.9","0","1"
"TMK_MN004","1001","20200504","8.6","0","1"
"TMK_MN004","1001","20200505","7.1","0","1"
"TMK_MN004","1001","20200506","10.1","0","1"
"TMK_MN004","1001","20200507","9.5","0","1"
"TMK_MN004","1001","20200508","13.7","0","1"
"TMK_MN004","1001","20200509","15.1","0","1"
"TMK_MN004","1001","20200510","16.9","0","1"
"TMK_MN004","1001","20200511","7.1","0","1"
"TMK_MN004","1001","20200512","5.4","0","1"
"TMK_MN004","1001","20200513","9.1","0","1"
"TMK_MN004","1001","20200514","9.5","0","1"
"TMK_MN004","1001","20200515","9.4","0","1"
"TMK_MN004","1001","20200516","11","0","1"
"TMK_MN004","1001","20200517","12.1","0","1"
"TMK_MN004","1001","20200518","15.1","0","1"
"TMK_MN004","1001","20200519","14.7","0","1"
"TMK_MN004","1001","20200520","15","0","1"
"TMK_MN004","1001","20200521","13.7","0","1"
"TMK_MN004","1001","20200522","15.6","0","1"
"TMK_MN004","1001","20200523","15.7","0","1"
"TMK_MN004","1001","20200524","12.1","0","1"
"TMK_MN004","1001","20200525","11.3","0","1"
"TMK_MN004","1001","20200526","13.5","0","1"
"TMK_MN004","1001","20200527","15.1","0","1"
"TMK_MN004","1001","20200528","13.9","0","1"
"TMK_MN004","1001","20200529","13.4","0","1"
"TMK_MN004","1001","20200530","12.2","0","1"
"TMK_MN004","1001","20200531","14.4","0","1"
"TMK_MN004","1001","20200601","16.4","0","1"
"TMK_MN004","1001","20200602","17","0","1"
"TMK_MN004","1001","20200603","17.2","0","1"
"TMK_MN004","1001","20200604","16.3","0","1"
"TMK_MN004","1001","20200605","14.3","0","1"
"TMK_MN004","1001","20200606","13.8","0","1"
"TMK_MN004","1001","20200607","13.3","0","1"
"TMK_MN004","1001","20200608","15.6","0","1"
"TMK_MN004","1001","20200609","16.4","0","1"
"TMK_MN004","1001","20200610","17.6","0","1"
"TMK_MN004","1001","20200611","18","0","1"
"TMK_MN004","1001","20200612","19.6","0","1"
"TMK_MN004","1001","20200613","21.7","0","1"
"TMK_MN004","1001","20200614","19.9","0","1"
"TMK_MN004","1001","20200615","19.1","0","1"
"TMK_MN004","1001","20200616","20.1","0","1"
"TMK_MN004","1001","20200617","21.1","0","1"
"TMK_MN004","1001","20200618","19.6","0","1"
"TMK_MN004","1001","20200619","16.9","0","1"
"TMK_MN004","1001","20200620","17.7","0","1"
"TMK_MN004","1001","20200621","18.2","0","1"
"TMK_MN004","1001","20200622","19.4","0","1"
"TMK_MN004","1001","20200623","18.4","0","1"
"TMK_MN004","1001","20200624","18.4","0","1"
"TMK_MN004","1001","20200625","22.2","0","1"
"TMK_MN004","1001","20200626","21.4","0","1"
"TMK_MN004","1001","20200627","22.9","0","1"
"TMK_MN004","1001","20200628","22.4","0","1"
"TMK_MN004","1001","20200629","18.5","0","1"
"TMK_MN004","1001","20200630","19.4","0","1"
"TMK_MN004","164","20200121","2.9","0","3"
"TMK_MN004","164","20200122","4.5","0","3"
"TMK_MN004","164","20200123","3.4","0","3"
"TMK_MN004","164","20200124","1.9","0","3"
"TMK_MN004","164","20200125","1.5","0","3"
"TMK_MN004","164","20200126","-0.2","0","3"
"TMK_MN004","164","20200127","4","0","3"
"TMK_MN004","164","20200128","5.3","0","3"
"TMK_MN004","164","20200129","3.9","0","3"
"TMK_MN004","164","20200130","5.2","0","3"
"TMK_MN004","164","20200131","8.9","0","3"
"TMK_MN004","164","20200201","10.7","0","3"
"TMK_MN004","164","20200202","6.6","0","3"
"TMK_MN004","164","20200203","6.2","0","3"
"TMK_MN004","164","20200204","4.5","0","3"
"TMK_MN004","164","20200205","2.9","0","3"
"TMK_MN004","164","20200206","4.2","0","3"
"TMK_MN004","164","20200207","5.5","0","3"
"TMK_MN004","164","20200208","4.9","0","3"
"TMK_MN004","164","20200209","8.6","0","3"
"TMK_MN004","164","20200210","6.7","0","3"
"TMK_MN004","164","20200211","4.6","0","3"
"TMK_MN004","164","20200212","4.1","0","3"
"TMK_MN004","164","20200213","3.8","0","3"
"TMK_MN004","164","20200214","2.6","0","3"
"TMK_MN004","164","20200215","4.6","0","3"
"TMK_MN004","164","20200216","11.5","0","3"
"TMK_MN004","164","20200217","9.2","0","3"
"TMK_MN004","164","20200218","6.5","0","3"
"TMK_MN004","164","20200219","4.8","0","3"
"TMK_MN004","164","20200220","5","0","3"
"TMK_MN004","164","20200221","5.7","0","3"
"TMK_MN004","164","20200222","8.2","0","3"
"TMK_MN004","164","20200223","5.8","0","3"
"TMK_MN004","164","20200224","4.9","0","3"
"TMK_MN004","164","20200225","7.8","0","3"
"TMK_MN004","164","20200226","3.5","0","3"
"TMK_MN004","164","20200227","2.3","0","3"
"TMK_MN004","164","20200228","3.2","0","3"
"TMK_MN004","164","20200229","6","0","3"
"TMK_MN004","164","20200301","6.3","0","3"
"TMK_MN004","164","20200302","5","0","3"
"TMK_MN004","164","20200303","3.6","0","3"
"TMK_MN004","164","20200304","4","0","3"
"TMK_MN004","164","20200305","4.7","0","3"
"TMK_MN004","164","20200306","4.3","0","3"
"TMK_MN004","164","20200307","3.9","0","3"
"TMK_MN004","164","20200308","4.8","0","3"
"TMK_MN004","164","20200309","6.7","0","3"
"TMK_MN004","164","20200310","5.8","0","3"
"TMK_MN004","164","20200311","9.1","0","3"
"TMK_MN004","164","20200312","8.9","0","3"
"TMK_MN004","164","20200313","5.6","0","3"
"TMK_MN004","164","20200314","2.8","0","3"
"TMK_MN004","164","20200315","4.9","0","3"
"TMK_MN004","164","20200316","8.5","0","3"
"TMK_MN004","164","20200317","8.2","0","3"
"TMK_MN004","164","20200318","12","0","3"
"TMK_MN004","164","20200319","8.6","0","3"
"TMK_MN004","164","20200320","6.3","0","3"
"TMK_MN004","164","20200321","2.7","0","3"
"TMK_MN004","164","20200322","0.8","0","3"
"TMK_MN004","164","20200323","0","0","3"
"TMK_MN004","164","20200324","1.7","0","3"
"TMK_MN004","164","20200325","2.7","0","3"
"TMK_MN004","164","20200326","4.6","0","3"
"TMK_MN004","164","20200327","7.4","0","3"
"TMK_MN004","164","20200328","6.1","0","3"
"TMK_MN004","164","20200329","2.3","0","3"
"TMK_MN004","164","20200330","-0.1","0","3"
"TMK_MN004","164","20200331","0.8","0","3"
"TMK_MN004","164","20200401","4.4","0","3"
"TMK_MN004","164","20200402","6.9","0","3"
"TMK_MN004","164","20200403","6","0","3"
"TMK_MN004","164","20200404","5.7","0","3"
"TMK_MN004","164","20200405","8.9","0","3"
"TMK_MN004","164","20200406","13.3","0","3"
"TMK_MN004","164","20200407","11.9","0","3"
"TMK_MN004","164","20200408","11.8","0","3"
"TMK_MN004","164","20200409","10.8","0","3"
"TMK_MN004","164","20200410","8.1","0","3"
"TMK_MN004","164","20200411","7.9","0","3"
"TMK_MN004","164","20200412","13.1","0","3"
"TMK_MN004","164","20200413","7.1","0","3"
"TMK_MN004","164","20200414","5.3","0","3"
"TMK_MN004","164","20200415","9.2","0","3"
"TMK_MN004","164","20200416","10.8","0","3"
"TMK_MN004","164","20200417","9","0","3"
"TMK_MN004","164","20200418","8.2","0","3"
"TMK_MN004","164","20200419","7.5","0","1"
"TMK_MN004","164","20200420","8.3","0","1"
"TMK_MN004","164","20200421","10","0","1"
"TMK_MN004","164","20200422","10.3","0","1"
"TMK_MN004","164","20200423","12.5","0","1"
