"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","691","20200121","3.5","0","3"
"TMK_MN004","691","20200122","4.7","0","3"
"TMK_MN004","691","20200123","3.1","0","3"
"TMK_MN004","691","20200124","0.4","0","3"
"TMK_MN004","691","20200125","1.7","0","3"
"TMK_MN004","691","20200126","2.1","0","3"
"TMK_MN004","691","20200127","6.7","0","3"
"TMK_MN004","691","20200128","5.2","0","3"
"TMK_MN004","691","20200129","4.2","0","3"
"TMK_MN004","691","20200130","7.6","0","3"
"TMK_MN004","691","20200131","10.5","0","3"
"TMK_MN004","691","20200201","10.8","0","3"
"TMK_MN004","691","20200202","7.1","0","3"
"TMK_MN004","691","20200203","8","0","3"
"TMK_MN004","691","20200204","5.2","0","3"
"TMK_MN004","691","20200205","3.4","0","3"
"TMK_MN004","691","20200206","4.9","0","3"
"TMK_MN004","691","20200207","5.2","0","3"
"TMK_MN004","691","20200208","4.8","0","3"
"TMK_MN004","691","20200209","9.8","0","3"
"TMK_MN004","691","20200210","6.3","0","3"
"TMK_MN004","691","20200211","3.8","0","3"
"TMK_MN004","691","20200212","4.2","0","3"
"TMK_MN004","691","20200213","2.8","0","3"
"TMK_MN004","691","20200214","5.3","0","3"
"TMK_MN004","691","20200215","8.4","0","3"
"TMK_MN004","691","20200216","12.6","0","3"
"TMK_MN004","691","20200217","7.8","0","3"
"TMK_MN004","691","20200218","6.7","0","3"
"TMK_MN004","691","20200219","5","0","3"
"TMK_MN004","691","20200220","6.7","0","3"
"TMK_MN004","691","20200221","6.4","0","3"
"TMK_MN004","691","20200222","8.3","0","3"
"TMK_MN004","691","20200223","6.1","0","3"
"TMK_MN004","691","20200224","5.7","0","3"
"TMK_MN004","691","20200225","6.1","0","3"
"TMK_MN004","691","20200226","3.3","0","3"
"TMK_MN004","691","20200227","2.9","0","3"
"TMK_MN004","691","20200228","4","0","3"
"TMK_MN004","691","20200229","8","0","3"
"TMK_MN004","691","20200301","6.6","0","3"
"TMK_MN004","691","20200302","6.3","0","3"
"TMK_MN004","691","20200303","5.4","0","3"
"TMK_MN004","691","20200304","3.9","0","3"
"TMK_MN004","691","20200305","5.7","0","3"
