"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1975","20200121","4.1","0","3"
"TMK_MN004","1975","20200122","6","0","3"
"TMK_MN004","1975","20200123","5","0","3"
"TMK_MN004","1975","20200124","1.6","0","3"
"TMK_MN004","1975","20200125","2.6","0","3"
"TMK_MN004","1975","20200126","1.7","0","3"
"TMK_MN004","1975","20200127","6","0","3"
"TMK_MN004","1975","20200128","4.7","0","3"
"TMK_MN004","1975","20200129","3.5","0","3"
"TMK_MN004","1975","20200130","6.7","0","3"
"TMK_MN004","1975","20200131","9.8","0","3"
"TMK_MN004","1975","20200201","10.5","0","3"
"TMK_MN004","1975","20200202","6.2","0","3"
"TMK_MN004","1975","20200203","7","0","3"
"TMK_MN004","1975","20200204","4.6","0","3"
"TMK_MN004","1975","20200205","2.8","0","3"
"TMK_MN004","1975","20200206","5.5","0","3"
"TMK_MN004","1975","20200207","5.5","0","3"
"TMK_MN004","1975","20200208","5.4","0","3"
"TMK_MN004","1975","20200209","9.5","0","3"
"TMK_MN004","1975","20200210","6.1","0","3"
"TMK_MN004","1975","20200211","3.5","0","3"
"TMK_MN004","1975","20200212","3.5","0","3"
"TMK_MN004","1975","20200213","2.7","0","3"
"TMK_MN004","1975","20200214","4.2","0","3"
"TMK_MN004","1975","20200215","8.3","0","3"
"TMK_MN004","1975","20200216","12.5","0","3"
"TMK_MN004","1975","20200217","7.8","0","3"
"TMK_MN004","1975","20200218","6.3","0","3"
"TMK_MN004","1975","20200219","5.4","0","3"
"TMK_MN004","1975","20200220","5.9","0","3"
"TMK_MN004","1975","20200221","5.8","0","3"
"TMK_MN004","1975","20200222","7.7","0","3"
"TMK_MN004","1975","20200223","5.3","0","3"
"TMK_MN004","1975","20200224","5","0","3"
"TMK_MN004","1975","20200225","5.8","0","3"
"TMK_MN004","1975","20200226","2.8","0","3"
"TMK_MN004","1975","20200227","3.2","0","3"
"TMK_MN004","1975","20200228","4.2","0","3"
"TMK_MN004","1975","20200229","7.1","0","3"
"TMK_MN004","1975","20200301","6","0","3"
"TMK_MN004","1975","20200302","6.3","0","3"
"TMK_MN004","1975","20200303","5.4","0","3"
"TMK_MN004","1975","20200304","3.8","0","3"
"TMK_MN004","1975","20200305","5.3","0","3"
"TMK_MN004","1975","20200306","4.6","0","3"
"TMK_MN004","1975","20200307","4.4","0","3"
"TMK_MN004","1975","20200308","8.4","0","3"
"TMK_MN004","1975","20200309","7.5","0","3"
"TMK_MN004","1975","20200310","8.2","0","3"
"TMK_MN004","1975","20200311","9.5","0","3"
"TMK_MN004","1975","20200312","7.6","0","3"
"TMK_MN004","1975","20200313","5.1","0","3"
"TMK_MN004","1975","20200314","3.4","0","3"
"TMK_MN004","1975","20200315","9.4","0","3"
"TMK_MN004","1975","20200316","8.5","0","3"
"TMK_MN004","1975","20200317","7.2","0","3"
"TMK_MN004","1975","20200318","9.9","0","3"
"TMK_MN004","1975","20200319","7.4","0","3"
"TMK_MN004","1975","20200320","6.1","0","3"
"TMK_MN004","1975","20200321","3.1","0","3"
"TMK_MN004","1975","20200322","2.8","0","3"
"TMK_MN004","1975","20200323","2.4","0","3"
"TMK_MN004","1975","20200324","3.9","0","3"
"TMK_MN004","1975","20200325","4.9","0","3"
"TMK_MN004","1975","20200326","4.9","0","3"
"TMK_MN004","1975","20200327","6.9","0","3"
"TMK_MN004","1975","20200328","7","0","3"
"TMK_MN004","1975","20200329","2.2","0","3"
"TMK_MN004","1975","20200330","2","0","3"
"TMK_MN004","1975","20200331","1.9","0","3"
"TMK_MN004","1975","20200401","4.9","0","3"
"TMK_MN004","1975","20200402","7.1","0","3"
"TMK_MN004","1975","20200403","5.3","0","3"
"TMK_MN004","1975","20200404","6.3","0","3"
"TMK_MN004","1975","20200405","10.4","0","3"
"TMK_MN004","1975","20200406","13.6","0","3"
"TMK_MN004","1975","20200407","12.3","0","3"
"TMK_MN004","1975","20200408","13.6","0","3"
"TMK_MN004","1975","20200409","9.8","0","3"
"TMK_MN004","1975","20200410","6.1","0","3"
"TMK_MN004","1975","20200411","9.4","0","3"
"TMK_MN004","1975","20200412","13.6","0","3"
"TMK_MN004","1975","20200413","6.3","0","3"
"TMK_MN004","1975","20200414","5.2","0","3"
"TMK_MN004","1975","20200415","9.2","0","3"
"TMK_MN004","1975","20200416","9.3","0","3"
"TMK_MN004","1975","20200417","8.5","0","3"
"TMK_MN004","1975","20200418","9.3","0","3"
"TMK_MN004","1975","20200419","8.3","0","1"
"TMK_MN004","1975","20200420","9.4","0","1"
"TMK_MN004","1975","20200421","11.2","0","1"
"TMK_MN004","1975","20200422","11","0","1"
"TMK_MN004","1975","20200423","13.2","0","1"
"TMK_MN004","1975","20200424","11.1","0","1"
"TMK_MN004","1975","20200425","10.3","0","1"
"TMK_MN004","1975","20200426","7.3","0","1"
"TMK_MN004","1975","20200427","12.4","0","1"
"TMK_MN004","1975","20200428","11.3","0","1"
"TMK_MN004","1975","20200429","9.7","0","1"
"TMK_MN004","1975","20200430","11.5","0","1"
"TMK_MN004","1975","20200501","10.2","0","1"
"TMK_MN004","1975","20200502","10","0","1"
"TMK_MN004","1975","20200503","10.1","0","1"
"TMK_MN004","1975","20200504","8.8","0","1"
"TMK_MN004","1975","20200505","8.2","0","1"
"TMK_MN004","1975","20200506","8.4","0","1"
"TMK_MN004","1975","20200507","10.1","0","1"
"TMK_MN004","1975","20200508","11","0","1"
"TMK_MN004","1975","20200509","15.2","0","1"
"TMK_MN004","1975","20200510","15.9","0","1"
"TMK_MN004","1975","20200511","7.5","0","1"
"TMK_MN004","1975","20200512","6.8","0","1"
"TMK_MN004","1975","20200513","7.1","0","1"
"TMK_MN004","1975","20200514","7.1","0","1"
"TMK_MN004","1975","20200515","7.2","0","1"
"TMK_MN004","1975","20200516","10.7","0","1"
"TMK_MN004","1975","20200517","11.9","0","1"
"TMK_MN004","1975","20200518","13.8","0","1"
"TMK_MN004","1975","20200519","13.9","0","1"
"TMK_MN004","1975","20200520","13.4","0","1"
"TMK_MN004","1975","20200521","15.8","0","1"
"TMK_MN004","1975","20200522","16.6","0","1"
"TMK_MN004","1975","20200523","13.2","0","1"
"TMK_MN004","1975","20200524","12.2","0","1"
"TMK_MN004","1975","20200525","12","0","1"
"TMK_MN004","1975","20200526","13.5","0","1"
"TMK_MN004","1975","20200527","14.2","0","1"
"TMK_MN004","1975","20200528","13.2","0","1"
"TMK_MN004","1975","20200529","14.7","0","1"
"TMK_MN004","1975","20200530","15.2","0","1"
"TMK_MN004","1975","20200531","14.7","0","1"
"TMK_MN004","1975","20200601","16.4","0","1"
"TMK_MN004","1975","20200602","19.1","0","1"
"TMK_MN004","1975","20200603","18.2","0","1"
"TMK_MN004","1975","20200604","14.5","0","1"
"TMK_MN004","1975","20200605","11.9","0","1"
"TMK_MN004","1975","20200606","11.5","0","1"
"TMK_MN004","1975","20200607","13.2","0","1"
"TMK_MN004","1975","20200608","14","0","1"
"TMK_MN004","1975","20200609","14.4","0","1"
"TMK_MN004","1975","20200610","16.3","0","1"
"TMK_MN004","1975","20200611","15.5","0","1"
"TMK_MN004","1975","20200612","18","0","1"
"TMK_MN004","1975","20200613","17.6","0","1"
"TMK_MN004","1975","20200614","17.3","0","1"
"TMK_MN004","1975","20200615","18.2","0","1"
"TMK_MN004","1975","20200616","19.2","0","1"
"TMK_MN004","1975","20200617","20.8","0","1"
"TMK_MN004","1975","20200618","19.7","0","1"
"TMK_MN004","1975","20200619","17.8","0","1"
"TMK_MN004","1975","20200620","17.8","0","1"
"TMK_MN004","1975","20200621","18.3","0","1"
