"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1297","20200121","-2.7","0","3"
"TMK_MN004","1297","20200122","-1.8","0","3"
"TMK_MN004","1297","20200123","0.6","0","3"
"TMK_MN004","1297","20200124","-0.6","0","3"
"TMK_MN004","1297","20200125","-0.1","0","3"
"TMK_MN004","1297","20200126","2.3","0","3"
"TMK_MN004","1297","20200127","5.8","0","3"
"TMK_MN004","1297","20200128","5.1","0","3"
"TMK_MN004","1297","20200129","3.9","0","3"
"TMK_MN004","1297","20200130","6.5","0","3"
"TMK_MN004","1297","20200131","12.1","0","3"
"TMK_MN004","1297","20200201","11.2","0","3"
"TMK_MN004","1297","20200202","8.5","0","3"
"TMK_MN004","1297","20200203","9.3","0","3"
"TMK_MN004","1297","20200204","4.4","0","3"
"TMK_MN004","1297","20200205","2.4","0","3"
"TMK_MN004","1297","20200206","2.7","0","3"
"TMK_MN004","1297","20200207","3.5","0","3"
"TMK_MN004","1297","20200208","3.1","0","3"
"TMK_MN004","1297","20200209","8.6","0","3"
"TMK_MN004","1297","20200210","7.5","0","3"
"TMK_MN004","1297","20200211","4.3","0","3"
"TMK_MN004","1297","20200212","4","0","3"
"TMK_MN004","1297","20200213","3","0","3"
"TMK_MN004","1297","20200214","5.8","0","3"
"TMK_MN004","1297","20200215","7.1","0","3"
"TMK_MN004","1297","20200216","13.6","0","3"
"TMK_MN004","1297","20200217","8.3","0","3"
"TMK_MN004","1297","20200218","6.9","0","3"
"TMK_MN004","1297","20200219","5.3","0","3"
"TMK_MN004","1297","20200220","5.7","0","3"
"TMK_MN004","1297","20200221","6.1","0","3"
"TMK_MN004","1297","20200222","8.1","0","3"
"TMK_MN004","1297","20200223","9.2","0","3"
"TMK_MN004","1297","20200224","6.2","0","3"
"TMK_MN004","1297","20200225","8.4","0","3"
"TMK_MN004","1297","20200226","3","0","3"
"TMK_MN004","1297","20200227","2.7","0","3"
"TMK_MN004","1297","20200228","3.6","0","3"
"TMK_MN004","1297","20200229","7.7","0","3"
"TMK_MN004","1297","20200301","7.5","0","3"
"TMK_MN004","1297","20200302","6.7","0","3"
"TMK_MN004","1297","20200303","4.9","0","3"
"TMK_MN004","1297","20200304","3","0","3"
"TMK_MN004","1297","20200305","4.6","0","3"
"TMK_MN004","1297","20200306","5.4","0","3"
"TMK_MN004","1297","20200307","4.3","0","3"
"TMK_MN004","1297","20200308","6.9","0","3"
"TMK_MN004","1297","20200309","7.7","0","3"
"TMK_MN004","1297","20200310","7.3","0","3"
"TMK_MN004","1297","20200311","10.6","0","3"
"TMK_MN004","1297","20200312","10.7","0","3"
"TMK_MN004","1297","20200313","6.6","0","3"
"TMK_MN004","1297","20200314","4.8","0","3"
"TMK_MN004","1297","20200315","6.7","0","3"
"TMK_MN004","1297","20200316","8.1","0","3"
"TMK_MN004","1297","20200317","8.9","0","3"
"TMK_MN004","1297","20200318","8.9","0","3"
"TMK_MN004","1297","20200319","10","0","3"
"TMK_MN004","1297","20200320","8","0","3"
"TMK_MN004","1297","20200321","4.7","0","3"
"TMK_MN004","1297","20200322","2.2","0","3"
"TMK_MN004","1297","20200323","2","0","3"
"TMK_MN004","1297","20200324","2","0","3"
"TMK_MN004","1297","20200325","2.6","0","3"
"TMK_MN004","1297","20200326","4.5","0","3"
"TMK_MN004","1297","20200327","8.4","0","3"
"TMK_MN004","1297","20200328","8.1","0","3"
"TMK_MN004","1297","20200329","3.5","0","3"
"TMK_MN004","1297","20200330","1.5","0","3"
"TMK_MN004","1297","20200331","2.4","0","3"
"TMK_MN004","1297","20200401","2.4","0","3"
"TMK_MN004","1297","20200402","4.6","0","3"
"TMK_MN004","1297","20200403","6.2","0","3"
"TMK_MN004","1297","20200404","6.2","0","3"
"TMK_MN004","1297","20200405","9.3","0","3"
"TMK_MN004","1297","20200406","11.5","0","3"
"TMK_MN004","1297","20200407","11.9","0","3"
"TMK_MN004","1297","20200408","12.9","0","3"
"TMK_MN004","1297","20200409","11.5","0","3"
"TMK_MN004","1297","20200410","10.2","0","3"
"TMK_MN004","1297","20200411","8.7","0","3"
"TMK_MN004","1297","20200412","12.3","0","3"
"TMK_MN004","1297","20200413","7.3","0","3"
"TMK_MN004","1297","20200414","5.5","0","3"
"TMK_MN004","1297","20200415","7.7","0","3"
"TMK_MN004","1297","20200416","12.5","0","3"
"TMK_MN004","1297","20200417","13.3","0","3"
"TMK_MN004","1297","20200418","13.2","0","3"
"TMK_MN004","1297","20200419","11.4","0","1"
"TMK_MN004","1297","20200420","10.8","0","1"
"TMK_MN004","1297","20200421","12.5","0","1"
"TMK_MN004","1297","20200422","13.1","0","1"
"TMK_MN004","1297","20200423","11.8","0","1"
"TMK_MN004","1297","20200424","12.7","0","1"
"TMK_MN004","1297","20200425","9.8","0","1"
"TMK_MN004","1297","20200426","10","0","1"
"TMK_MN004","1297","20200427","12.5","0","1"
"TMK_MN004","1297","20200428","12.2","0","1"
