"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","167","20200121","3.9","0","3"
"TMK_MN004","167","20200122","4.9","0","3"
"TMK_MN004","167","20200123","3.4","0","3"
"TMK_MN004","167","20200124","3.5","0","3"
"TMK_MN004","167","20200125","3","0","3"
"TMK_MN004","167","20200126","1.1","0","3"
"TMK_MN004","167","20200127","3.8","0","3"
"TMK_MN004","167","20200128","5.2","0","3"
"TMK_MN004","167","20200129","3.7","0","3"
"TMK_MN004","167","20200130","5.4","0","3"
"TMK_MN004","167","20200131","8.5","0","3"
"TMK_MN004","167","20200201","10.3","0","3"
"TMK_MN004","167","20200202","6.1","0","3"
"TMK_MN004","167","20200203","5.9","0","3"
"TMK_MN004","167","20200204","4.4","0","3"
"TMK_MN004","167","20200205","3.2","0","3"
"TMK_MN004","167","20200206","5.5","0","3"
"TMK_MN004","167","20200207","5.4","0","3"
"TMK_MN004","167","20200208","4.9","0","3"
"TMK_MN004","167","20200209","8.8","0","3"
"TMK_MN004","167","20200210","6.5","0","3"
"TMK_MN004","167","20200211","3.4","0","3"
"TMK_MN004","167","20200212","3.6","0","3"
"TMK_MN004","167","20200213","3.7","0","3"
"TMK_MN004","167","20200214","2.6","0","3"
"TMK_MN004","167","20200215","4.9","0","3"
"TMK_MN004","167","20200216","11.1","0","3"
"TMK_MN004","167","20200217","8.4","0","3"
"TMK_MN004","167","20200218","6.4","0","3"
"TMK_MN004","167","20200219","5.2","0","3"
"TMK_MN004","167","20200220","4.8","0","3"
"TMK_MN004","167","20200221","6","0","3"
"TMK_MN004","167","20200222","7.6","0","3"
"TMK_MN004","167","20200223","5.3","0","3"
"TMK_MN004","167","20200224","5.2","0","3"
"TMK_MN004","167","20200225","6.3","0","3"
"TMK_MN004","167","20200226","3.3","0","3"
"TMK_MN004","167","20200227","2.1","0","3"
"TMK_MN004","167","20200228","3","0","3"
"TMK_MN004","167","20200229","5.5","0","3"
"TMK_MN004","167","20200301","5.8","0","3"
"TMK_MN004","167","20200302","4","0","3"
"TMK_MN004","167","20200303","3.9","0","3"
"TMK_MN004","167","20200304","3.9","0","3"
"TMK_MN004","167","20200305","4.2","0","3"
"TMK_MN004","167","20200306","3.7","0","3"
"TMK_MN004","167","20200307","4.1","0","3"
"TMK_MN004","167","20200308","4.5","0","3"
"TMK_MN004","167","20200309","7","0","3"
"TMK_MN004","167","20200310","5.9","0","3"
"TMK_MN004","167","20200311","8.4","0","3"
"TMK_MN004","167","20200312","7.9","0","3"
"TMK_MN004","167","20200313","4.9","0","3"
"TMK_MN004","167","20200314","1.7","0","3"
"TMK_MN004","167","20200315","4.8","0","3"
"TMK_MN004","167","20200316","6.7","0","3"
"TMK_MN004","167","20200317","7.1","0","3"
"TMK_MN004","167","20200318","11.1","0","3"
"TMK_MN004","167","20200319","7.3","0","3"
"TMK_MN004","167","20200320","5.1","0","3"
"TMK_MN004","167","20200321","3.6","0","3"
"TMK_MN004","167","20200322","2.2","0","3"
"TMK_MN004","167","20200323","0.5","0","3"
"TMK_MN004","167","20200324","1.6","0","3"
"TMK_MN004","167","20200325","2.3","0","3"
"TMK_MN004","167","20200326","4.5","0","3"
"TMK_MN004","167","20200327","7.4","0","3"
"TMK_MN004","167","20200328","6.7","0","3"
"TMK_MN004","167","20200329","2.4","0","3"
"TMK_MN004","167","20200330","0.8","0","3"
"TMK_MN004","167","20200331","1.8","0","3"
