"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1078","20200121","0.4","0","3"
"TMK_MN004","1078","20200122","-0.2","0","3"
"TMK_MN004","1078","20200123","2.7","0","3"
"TMK_MN004","1078","20200124","0.7","0","3"
"TMK_MN004","1078","20200125","2","0","3"
"TMK_MN004","1078","20200126","5","0","3"
"TMK_MN004","1078","20200127","7.5","0","3"
"TMK_MN004","1078","20200128","5.4","0","3"
"TMK_MN004","1078","20200129","4.8","0","3"
"TMK_MN004","1078","20200130","8.3","0","3"
"TMK_MN004","1078","20200131","11.9","0","3"
"TMK_MN004","1078","20200201","11.2","0","3"
"TMK_MN004","1078","20200202","9.6","0","3"
"TMK_MN004","1078","20200203","9.8","0","3"
"TMK_MN004","1078","20200204","4.7","0","3"
"TMK_MN004","1078","20200205","4.1","0","3"
"TMK_MN004","1078","20200206","4","0","3"
"TMK_MN004","1078","20200207","3.9","0","3"
"TMK_MN004","1078","20200208","6.8","0","3"
"TMK_MN004","1078","20200209","10.5","0","3"
"TMK_MN004","1078","20200210","8.2","0","3"
"TMK_MN004","1078","20200211","5.3","0","3"
"TMK_MN004","1078","20200212","4.9","0","3"
"TMK_MN004","1078","20200213","5","0","3"
"TMK_MN004","1078","20200214","6.9","0","3"
"TMK_MN004","1078","20200215","9.2","0","3"
"TMK_MN004","1078","20200216","13.8","0","3"
"TMK_MN004","1078","20200217","8.5","0","3"
"TMK_MN004","1078","20200218","7.3","0","3"
"TMK_MN004","1078","20200219","5.8","0","3"
"TMK_MN004","1078","20200220","7.9","0","3"
"TMK_MN004","1078","20200221","6.2","0","3"
"TMK_MN004","1078","20200222","8.5","0","3"
"TMK_MN004","1078","20200223","9.6","0","3"
"TMK_MN004","1078","20200224","7.1","0","3"
"TMK_MN004","1078","20200225","7.6","0","3"
"TMK_MN004","1078","20200226","3","0","3"
"TMK_MN004","1078","20200227","2.5","0","3"
"TMK_MN004","1078","20200228","3.9","0","3"
"TMK_MN004","1078","20200229","8.6","0","3"
"TMK_MN004","1078","20200301","7","0","3"
"TMK_MN004","1078","20200302","6.3","0","3"
"TMK_MN004","1078","20200303","4.6","0","3"
"TMK_MN004","1078","20200304","6.2","0","3"
"TMK_MN004","1078","20200305","6.1","0","3"
"TMK_MN004","1078","20200306","5.3","0","3"
"TMK_MN004","1078","20200307","6.4","0","3"
"TMK_MN004","1078","20200308","8.8","0","3"
"TMK_MN004","1078","20200309","7.8","0","3"
"TMK_MN004","1078","20200310","10.1","0","3"
"TMK_MN004","1078","20200311","11.8","0","3"
"TMK_MN004","1078","20200312","10.2","0","3"
"TMK_MN004","1078","20200313","7.2","0","3"
"TMK_MN004","1078","20200314","7.2","0","3"
"TMK_MN004","1078","20200315","10.4","0","3"
"TMK_MN004","1078","20200316","11","0","3"
"TMK_MN004","1078","20200317","9.9","0","3"
"TMK_MN004","1078","20200318","10.4","0","3"
"TMK_MN004","1078","20200319","10.9","0","3"
"TMK_MN004","1078","20200320","8","0","3"
"TMK_MN004","1078","20200321","5.8","0","3"
"TMK_MN004","1078","20200322","4.9","0","3"
"TMK_MN004","1078","20200323","4.8","0","3"
"TMK_MN004","1078","20200324","5.7","0","3"
"TMK_MN004","1078","20200325","6.6","0","3"
"TMK_MN004","1078","20200326","6.3","0","3"
"TMK_MN004","1078","20200327","10.1","0","3"
"TMK_MN004","1078","20200328","9.3","0","3"
"TMK_MN004","1078","20200329","3.4","0","3"
"TMK_MN004","1078","20200330","2.7","0","3"
"TMK_MN004","1078","20200331","4.5","0","3"
"TMK_MN004","1078","20200401","3.8","0","3"
"TMK_MN004","1078","20200402","5.3","0","3"
"TMK_MN004","1078","20200403","8.1","0","3"
"TMK_MN004","1078","20200404","7.1","0","3"
"TMK_MN004","1078","20200405","12.5","0","3"
"TMK_MN004","1078","20200406","16.5","0","3"
"TMK_MN004","1078","20200407","14.5","0","3"
"TMK_MN004","1078","20200408","16.5","0","3"
"TMK_MN004","1078","20200409","14.6","0","3"
"TMK_MN004","1078","20200410","14","0","3"
"TMK_MN004","1078","20200411","13.7","0","3"
"TMK_MN004","1078","20200412","15.4","0","3"
"TMK_MN004","1078","20200413","8.5","0","3"
"TMK_MN004","1078","20200414","6.3","0","3"
"TMK_MN004","1078","20200415","9","0","3"
"TMK_MN004","1078","20200416","15.1","0","3"
"TMK_MN004","1078","20200417","14.1","0","3"
"TMK_MN004","1078","20200418","13.3","0","3"
"TMK_MN004","1078","20200419","13.2","0","1"
"TMK_MN004","1078","20200420","13","0","1"
"TMK_MN004","1078","20200421","14.2","0","1"
"TMK_MN004","1078","20200422","15.2","0","1"
"TMK_MN004","1078","20200423","14.6","0","1"
"TMK_MN004","1078","20200424","13.6","0","1"
"TMK_MN004","1078","20200425","10.3","0","1"
"TMK_MN004","1078","20200426","11.2","0","1"
"TMK_MN004","1078","20200427","13.5","0","1"
"TMK_MN004","1078","20200428","12.9","0","1"
"TMK_MN004","1078","20200429","13.8","0","1"
"TMK_MN004","1078","20200430","11.6","0","1"
"TMK_MN004","1078","20200501","10.8","0","1"
"TMK_MN004","1078","20200502","10.1","0","1"
"TMK_MN004","1078","20200503","11.3","0","1"
"TMK_MN004","1078","20200504","11.9","0","1"
"TMK_MN004","1078","20200505","9.4","0","1"
"TMK_MN004","1078","20200506","11.1","0","1"
"TMK_MN004","1078","20200507","13","0","1"
"TMK_MN004","1078","20200508","15.2","0","1"
"TMK_MN004","1078","20200509","17.5","0","1"
"TMK_MN004","1078","20200510","15.1","0","1"
"TMK_MN004","1078","20200511","8.8","0","1"
"TMK_MN004","1078","20200512","7.2","0","1"
"TMK_MN004","1078","20200513","8.3","0","1"
"TMK_MN004","1078","20200514","9.4","0","1"
"TMK_MN004","1078","20200515","10.1","0","1"
"TMK_MN004","1078","20200516","11.5","0","1"
"TMK_MN004","1078","20200517","11.9","0","1"
"TMK_MN004","1078","20200518","16.1","0","1"
"TMK_MN004","1078","20200519","16.8","0","1"
"TMK_MN004","1078","20200520","16.4","0","1"
"TMK_MN004","1078","20200521","18.8","0","1"
"TMK_MN004","1078","20200522","19.6","0","1"
"TMK_MN004","1078","20200523","15.9","0","1"
"TMK_MN004","1078","20200524","13.3","0","1"
"TMK_MN004","1078","20200525","15.6","0","1"
"TMK_MN004","1078","20200526","15.4","0","1"
"TMK_MN004","1078","20200527","17.7","0","1"
"TMK_MN004","1078","20200528","15.9","0","1"
"TMK_MN004","1078","20200529","16.6","0","1"
"TMK_MN004","1078","20200530","17","0","1"
