"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1072","20200121","-0.9","0","3"
"TMK_MN004","1072","20200122","-2.8","0","3"
"TMK_MN004","1072","20200123","0.8","0","3"
"TMK_MN004","1072","20200124","-0.2","0","3"
"TMK_MN004","1072","20200125","0.3","0","3"
"TMK_MN004","1072","20200126","1.2","0","3"
"TMK_MN004","1072","20200127","5.1","0","3"
"TMK_MN004","1072","20200128","5.6","0","3"
"TMK_MN004","1072","20200129","5","0","3"
"TMK_MN004","1072","20200130","7","0","3"
"TMK_MN004","1072","20200131","13.4","0","3"
"TMK_MN004","1072","20200201","12.7","0","3"
"TMK_MN004","1072","20200202","11.9","0","3"
"TMK_MN004","1072","20200203","10.7","0","3"
"TMK_MN004","1072","20200204","5.9","0","3"
"TMK_MN004","1072","20200205","4.3","0","3"
"TMK_MN004","1072","20200206","0.6","0","3"
"TMK_MN004","1072","20200207","1","0","3"
"TMK_MN004","1072","20200208","1.1","0","3"
"TMK_MN004","1072","20200209","9.1","0","3"
"TMK_MN004","1072","20200210","9.8","0","3"
"TMK_MN004","1072","20200211","6.4","0","3"
"TMK_MN004","1072","20200212","4.6","0","3"
"TMK_MN004","1072","20200213","3.7","0","3"
"TMK_MN004","1072","20200214","7.4","0","3"
"TMK_MN004","1072","20200215","6.3","0","3"
"TMK_MN004","1072","20200216","14.4","0","3"
"TMK_MN004","1072","20200217","9.7","0","3"
"TMK_MN004","1072","20200218","7.5","0","3"
"TMK_MN004","1072","20200219","6.6","0","3"
"TMK_MN004","1072","20200220","7.8","0","3"
"TMK_MN004","1072","20200221","6","0","3"
"TMK_MN004","1072","20200222","8.8","0","3"
"TMK_MN004","1072","20200223","11.6","0","3"
"TMK_MN004","1072","20200224","9.3","0","3"
"TMK_MN004","1072","20200225","8.8","0","3"
"TMK_MN004","1072","20200226","3.8","0","3"
"TMK_MN004","1072","20200227","2.9","0","3"
"TMK_MN004","1072","20200228","4.9","0","3"
"TMK_MN004","1072","20200229","9.9","0","3"
"TMK_MN004","1072","20200301","9.1","0","3"
"TMK_MN004","1072","20200302","6.1","0","3"
"TMK_MN004","1072","20200303","5.3","0","3"
"TMK_MN004","1072","20200304","4.7","0","3"
"TMK_MN004","1072","20200305","5.8","0","3"
"TMK_MN004","1072","20200306","6.8","0","3"
"TMK_MN004","1072","20200307","6.1","0","3"
"TMK_MN004","1072","20200308","7.8","0","3"
"TMK_MN004","1072","20200309","8.3","0","3"
"TMK_MN004","1072","20200310","9.2","0","3"
"TMK_MN004","1072","20200311","14.4","0","3"
"TMK_MN004","1072","20200312","12.1","0","3"
"TMK_MN004","1072","20200313","7.8","0","3"
"TMK_MN004","1072","20200314","5.2","0","3"
"TMK_MN004","1072","20200315","7.2","0","3"
"TMK_MN004","1072","20200316","10.6","0","3"
"TMK_MN004","1072","20200317","12.6","0","3"
"TMK_MN004","1072","20200318","10.4","0","3"
"TMK_MN004","1072","20200319","12.1","0","3"
"TMK_MN004","1072","20200320","12.8","0","3"
"TMK_MN004","1072","20200321","5.6","0","3"
"TMK_MN004","1072","20200322","4.9","0","3"
"TMK_MN004","1072","20200323","3.2","0","3"
"TMK_MN004","1072","20200324","2.7","0","3"
"TMK_MN004","1072","20200325","3.9","0","3"
"TMK_MN004","1072","20200326","5.2","0","3"
"TMK_MN004","1072","20200327","9.8","0","3"
"TMK_MN004","1072","20200328","12.1","0","3"
"TMK_MN004","1072","20200329","5.7","0","3"
"TMK_MN004","1072","20200330","3","0","3"
