"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","3545","20200121","-0.1","0","3"
"TMK_MN004","3545","20200122","-1.7","0","3"
"TMK_MN004","3545","20200123","0.4","0","3"
"TMK_MN004","3545","20200124","-0.1","0","3"
"TMK_MN004","3545","20200125","0.7","0","3"
"TMK_MN004","3545","20200126","2.2","0","3"
"TMK_MN004","3545","20200127","6.2","0","3"
"TMK_MN004","3545","20200128","4","0","3"
"TMK_MN004","3545","20200129","3.9","0","3"
"TMK_MN004","3545","20200130","5.3","0","3"
"TMK_MN004","3545","20200131","11.5","0","3"
"TMK_MN004","3545","20200201","10.9","0","3"
"TMK_MN004","3545","20200202","10.7","0","3"
"TMK_MN004","3545","20200203","9.8","0","3"
"TMK_MN004","3545","20200204","4.7","0","3"
"TMK_MN004","3545","20200205","2.2","0","3"
"TMK_MN004","3545","20200206","0.9","0","3"
"TMK_MN004","3545","20200207","0.9","0","3"
"TMK_MN004","3545","20200208","0.8","0","3"
"TMK_MN004","3545","20200209","8.4","0","3"
"TMK_MN004","3545","20200210","8.3","0","3"
"TMK_MN004","3545","20200211","5.6","0","3"
"TMK_MN004","3545","20200212","3.1","0","3"
"TMK_MN004","3545","20200213","2.7","0","3"
"TMK_MN004","3545","20200214","6.2","0","3"
"TMK_MN004","3545","20200215","5","0","3"
"TMK_MN004","3545","20200216","12.7","0","3"
"TMK_MN004","3545","20200217","7.6","0","3"
"TMK_MN004","3545","20200218","6.3","0","3"
"TMK_MN004","3545","20200219","5","0","3"
"TMK_MN004","3545","20200220","6.8","0","3"
"TMK_MN004","3545","20200221","4.7","0","3"
"TMK_MN004","3545","20200222","6.5","0","3"
"TMK_MN004","3545","20200223","10.1","0","3"
"TMK_MN004","3545","20200224","8.6","0","3"
"TMK_MN004","3545","20200225","7.1","0","3"
"TMK_MN004","3545","20200226","3.1","0","3"
"TMK_MN004","3545","20200227","1.8","0","3"
"TMK_MN004","3545","20200228","4.7","0","3"
"TMK_MN004","3545","20200229","8.4","0","3"
"TMK_MN004","3545","20200301","7.4","0","3"
"TMK_MN004","3545","20200302","5.1","0","3"
"TMK_MN004","3545","20200303","3.4","0","3"
"TMK_MN004","3545","20200304","3","0","3"
"TMK_MN004","3545","20200305","5.9","0","3"
"TMK_MN004","3545","20200306","5.4","0","3"
"TMK_MN004","3545","20200307","4.7","0","3"
"TMK_MN004","3545","20200308","7.5","0","3"
"TMK_MN004","3545","20200309","6.9","0","3"
"TMK_MN004","3545","20200310","7.7","0","3"
"TMK_MN004","3545","20200311","13","0","3"
"TMK_MN004","3545","20200312","10.2","0","3"
"TMK_MN004","3545","20200313","6.5","0","3"
"TMK_MN004","3545","20200314","4.8","0","3"
"TMK_MN004","3545","20200315","7.1","0","3"
"TMK_MN004","3545","20200316","8.7","0","3"
"TMK_MN004","3545","20200317","10.2","0","3"
"TMK_MN004","3545","20200318","8.5","0","3"
"TMK_MN004","3545","20200319","9.8","0","3"
"TMK_MN004","3545","20200320","10.5","0","3"
"TMK_MN004","3545","20200321","4.6","0","3"
"TMK_MN004","3545","20200322","4.5","0","3"
"TMK_MN004","3545","20200323","3.4","0","3"
"TMK_MN004","3545","20200324","3.7","0","3"
"TMK_MN004","3545","20200325","4.2","0","3"
"TMK_MN004","3545","20200326","4.7","0","3"
"TMK_MN004","3545","20200327","7","0","3"
"TMK_MN004","3545","20200328","9.7","0","3"
"TMK_MN004","3545","20200329","4.6","0","3"
"TMK_MN004","3545","20200330","2.5","0","3"
"TMK_MN004","3545","20200331","2.7","0","3"
"TMK_MN004","3545","20200401","2.8","0","3"
"TMK_MN004","3545","20200402","5.4","0","3"
"TMK_MN004","3545","20200403","5.2","0","3"
"TMK_MN004","3545","20200404","6.6","0","3"
"TMK_MN004","3545","20200405","10.2","0","3"
"TMK_MN004","3545","20200406","11","0","3"
"TMK_MN004","3545","20200407","13.8","0","3"
"TMK_MN004","3545","20200408","13.3","0","3"
"TMK_MN004","3545","20200409","14.1","0","3"
"TMK_MN004","3545","20200410","14.4","0","3"
"TMK_MN004","3545","20200411","13.7","0","3"
"TMK_MN004","3545","20200412","14","0","3"
"TMK_MN004","3545","20200413","9.5","0","3"
"TMK_MN004","3545","20200414","5.4","0","3"
"TMK_MN004","3545","20200415","8.7","0","3"
"TMK_MN004","3545","20200416","12.2","0","3"
"TMK_MN004","3545","20200417","14.7","0","3"
"TMK_MN004","3545","20200418","14.8","0","3"
"TMK_MN004","3545","20200419","13.4","0","1"
"TMK_MN004","3545","20200420","13.7","0","1"
"TMK_MN004","3545","20200421","14.9","0","1"
"TMK_MN004","3545","20200422","15.2","0","1"
"TMK_MN004","3545","20200423","13.9","0","1"
"TMK_MN004","3545","20200424","13.2","0","1"
"TMK_MN004","3545","20200425","11.1","0","1"
"TMK_MN004","3545","20200426","11.2","0","1"
"TMK_MN004","3545","20200427","12.9","0","1"
"TMK_MN004","3545","20200428","12.4","0","1"
"TMK_MN004","3545","20200429","12.7","0","1"
"TMK_MN004","3545","20200430","10.8","0","1"
"TMK_MN004","3545","20200501","9.5","0","1"
"TMK_MN004","3545","20200502","7.9","0","1"
"TMK_MN004","3545","20200503","9.6","0","1"
"TMK_MN004","3545","20200504","12.5","0","1"
"TMK_MN004","3545","20200505","10.1","0","1"
"TMK_MN004","3545","20200506","9.2","0","1"
"TMK_MN004","3545","20200507","12","0","1"
"TMK_MN004","3545","20200508","16","0","1"
"TMK_MN004","3545","20200509","14.5","0","1"
"TMK_MN004","3545","20200510","16.9","0","1"
"TMK_MN004","3545","20200511","7.1","0","1"
"TMK_MN004","3545","20200512","6.9","0","1"
"TMK_MN004","3545","20200513","8.8","0","1"
"TMK_MN004","3545","20200514","10","0","1"
"TMK_MN004","3545","20200515","11.7","0","1"
"TMK_MN004","3545","20200516","11.3","0","1"
"TMK_MN004","3545","20200517","11.9","0","1"
"TMK_MN004","3545","20200518","14.4","0","1"
"TMK_MN004","3545","20200519","17.4","0","1"
"TMK_MN004","3545","20200520","17.5","0","1"
"TMK_MN004","3545","20200521","18.3","0","1"
"TMK_MN004","3545","20200522","19.5","0","1"
"TMK_MN004","3545","20200523","12.8","0","1"
"TMK_MN004","3545","20200524","12.2","0","1"
"TMK_MN004","3545","20200525","13.9","0","1"
"TMK_MN004","3545","20200526","14.3","0","1"
"TMK_MN004","3545","20200527","15.3","0","1"
"TMK_MN004","3545","20200528","16.2","0","1"
"TMK_MN004","3545","20200529","14.9","0","1"
"TMK_MN004","3545","20200530","15.1","0","1"
"TMK_MN004","3545","20200531","15","0","1"
"TMK_MN004","3545","20200601","18.9","0","1"
"TMK_MN004","3545","20200602","18.9","0","1"
"TMK_MN004","3545","20200603","18.1","0","1"
"TMK_MN004","3545","20200604","14.8","0","1"
"TMK_MN004","3545","20200605","11.2","0","1"
"TMK_MN004","3545","20200606","12.7","0","1"
"TMK_MN004","3545","20200607","13","0","1"
"TMK_MN004","3545","20200608","12.9","0","1"
"TMK_MN004","3545","20200609","14","0","1"
"TMK_MN004","3545","20200610","14.7","0","1"
"TMK_MN004","3545","20200611","15.7","0","1"
"TMK_MN004","3545","20200612","20.2","0","1"
"TMK_MN004","3545","20200613","18.9","0","1"
"TMK_MN004","3545","20200614","16.6","0","1"
"TMK_MN004","3545","20200615","17.9","0","1"
"TMK_MN004","3545","20200616","17.4","0","1"
"TMK_MN004","3545","20200617","15.5","0","1"
"TMK_MN004","3545","20200618","15.8","0","1"
"TMK_MN004","3545","20200619","16.2","0","1"
"TMK_MN004","3545","20200620","16.9","0","1"
"TMK_MN004","3545","20200621","17.8","0","1"
"TMK_MN004","3545","20200622","18.1","0","1"
"TMK_MN004","3545","20200623","19.4","0","1"
"TMK_MN004","3545","20200624","20.9","0","1"
"TMK_MN004","3545","20200625","21.5","0","1"
"TMK_MN004","3545","20200626","20","0","1"
"TMK_MN004","3545","20200627","20.4","0","1"
"TMK_MN004","3545","20200628","17.6","0","1"
"TMK_MN004","3545","20200629","17.6","0","1"
"TMK_MN004","3545","20200630","15.7","0","1"
"TMK_MN004","3904","20200121","-0.8","0","3"
"TMK_MN004","3904","20200122","-1.4","0","3"
"TMK_MN004","3904","20200123","1.9","0","3"
"TMK_MN004","3904","20200124","0.9","0","3"
"TMK_MN004","3904","20200125","1.7","0","3"
"TMK_MN004","3904","20200126","2.9","0","3"
"TMK_MN004","3904","20200127","6.8","0","3"
"TMK_MN004","3904","20200128","4.9","0","3"
"TMK_MN004","3904","20200129","4.7","0","3"
"TMK_MN004","3904","20200130","6.6","0","3"
"TMK_MN004","3904","20200131","11.9","0","3"
"TMK_MN004","3904","20200201","11.1","0","3"
"TMK_MN004","3904","20200202","10.9","0","3"
"TMK_MN004","3904","20200203","10.2","0","3"
"TMK_MN004","3904","20200204","5.1","0","3"
"TMK_MN004","3904","20200205","3.2","0","3"
"TMK_MN004","3904","20200206","0.8","0","3"
"TMK_MN004","3904","20200207","1","0","3"
"TMK_MN004","3904","20200208","1.2","0","3"
"TMK_MN004","3904","20200209","9.2","0","3"
"TMK_MN004","3904","20200210","8.9","0","3"
"TMK_MN004","3904","20200211","5.9","0","3"
