"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1200","20200121","5.2","0","3"
"TMK_MN004","1200","20200122","5.5","0","3"
"TMK_MN004","1200","20200123","4.1","0","3"
"TMK_MN004","1200","20200124","3.5","0","3"
"TMK_MN004","1200","20200125","3.6","0","3"
"TMK_MN004","1200","20200126","2.5","0","3"
"TMK_MN004","1200","20200127","6.4","0","3"
"TMK_MN004","1200","20200128","5.3","0","3"
"TMK_MN004","1200","20200129","4.5","0","3"
"TMK_MN004","1200","20200130","6.9","0","3"
"TMK_MN004","1200","20200131","8.2","0","3"
"TMK_MN004","1200","20200201","9.2","0","3"
"TMK_MN004","1200","20200202","6.2","0","3"
"TMK_MN004","1200","20200203","6.8","0","3"
"TMK_MN004","1200","20200204","5.2","0","3"
"TMK_MN004","1200","20200205","3","0","3"
"TMK_MN004","1200","20200206","6.1","0","3"
"TMK_MN004","1200","20200207","5.7","0","3"
"TMK_MN004","1200","20200208","4.9","0","3"
"TMK_MN004","1200","20200209","8.7","0","3"
"TMK_MN004","1200","20200210","6.5","0","3"
"TMK_MN004","1200","20200211","4.7","0","3"
"TMK_MN004","1200","20200212","5","0","3"
"TMK_MN004","1200","20200213","2.9","0","3"
"TMK_MN004","1200","20200214","4.2","0","3"
"TMK_MN004","1200","20200215","8.1","0","3"
"TMK_MN004","1200","20200216","10.4","0","3"
"TMK_MN004","1200","20200217","7.4","0","3"
"TMK_MN004","1200","20200218","6.1","0","3"
"TMK_MN004","1200","20200219","5.8","0","3"
"TMK_MN004","1200","20200220","6.2","0","3"
"TMK_MN004","1200","20200221","6.3","0","3"
"TMK_MN004","1200","20200222","7.5","0","3"
"TMK_MN004","1200","20200223","5.6","0","3"
"TMK_MN004","1200","20200224","4.9","0","3"
"TMK_MN004","1200","20200225","5.4","0","3"
"TMK_MN004","1200","20200226","3.7","0","3"
"TMK_MN004","1200","20200227","3","0","3"
"TMK_MN004","1200","20200228","5","0","3"
"TMK_MN004","1200","20200229","6.9","0","3"
"TMK_MN004","1200","20200301","5.8","0","3"
"TMK_MN004","1200","20200302","5.6","0","3"
"TMK_MN004","1200","20200303","5.3","0","3"
"TMK_MN004","1200","20200304","4.5","0","3"
"TMK_MN004","1200","20200305","4.2","0","3"
"TMK_MN004","1200","20200306","4.9","0","3"
"TMK_MN004","1200","20200307","4.8","0","3"
"TMK_MN004","1200","20200308","8.1","0","3"
"TMK_MN004","1200","20200309","7.2","0","3"
"TMK_MN004","1200","20200310","7.7","0","3"
"TMK_MN004","1200","20200311","8.2","0","3"
"TMK_MN004","1200","20200312","7.1","0","3"
"TMK_MN004","1200","20200313","5.4","0","3"
"TMK_MN004","1200","20200314","4","0","3"
"TMK_MN004","1200","20200315","8.8","0","3"
"TMK_MN004","1200","20200316","7.4","0","3"
"TMK_MN004","1200","20200317","7.1","0","3"
"TMK_MN004","1200","20200318","8","0","3"
"TMK_MN004","1200","20200319","6.9","0","3"
"TMK_MN004","1200","20200320","6","0","3"
"TMK_MN004","1200","20200321","2.8","0","3"
