"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","1270","20200121","-2.3","0","3"
"TMK_MN004","1270","20200122","-1.7","0","3"
"TMK_MN004","1270","20200123","0.7","0","3"
"TMK_MN004","1270","20200124","-2.7","0","3"
"TMK_MN004","1270","20200125","-2.8","0","3"
"TMK_MN004","1270","20200126","-0.5","0","3"
"TMK_MN004","1270","20200127","4.8","0","3"
"TMK_MN004","1270","20200128","3.9","0","3"
"TMK_MN004","1270","20200129","2.5","0","3"
"TMK_MN004","1270","20200130","5.4","0","3"
"TMK_MN004","1270","20200131","11","0","3"
"TMK_MN004","1270","20200201","10.3","0","3"
"TMK_MN004","1270","20200202","7.6","0","3"
"TMK_MN004","1270","20200203","8.6","0","3"
"TMK_MN004","1270","20200204","3.1","0","3"
"TMK_MN004","1270","20200205","1.3","0","3"
"TMK_MN004","1270","20200206","1.7","0","3"
"TMK_MN004","1270","20200207","2.6","0","3"
"TMK_MN004","1270","20200208","4","0","3"
"TMK_MN004","1270","20200209","8.7","0","3"
"TMK_MN004","1270","20200210","6.2","0","3"
"TMK_MN004","1270","20200211","2.9","0","3"
"TMK_MN004","1270","20200212","2.7","0","3"
"TMK_MN004","1270","20200213","2.5","0","3"
"TMK_MN004","1270","20200214","4.7","0","3"
"TMK_MN004","1270","20200215","6","0","3"
"TMK_MN004","1270","20200216","12.5","0","3"
"TMK_MN004","1270","20200217","7.5","0","3"
"TMK_MN004","1270","20200218","5.8","0","3"
"TMK_MN004","1270","20200219","3.7","0","3"
"TMK_MN004","1270","20200220","4.5","0","3"
"TMK_MN004","1270","20200221","4.4","0","3"
"TMK_MN004","1270","20200222","7.6","0","3"
"TMK_MN004","1270","20200223","8.7","0","3"
"TMK_MN004","1270","20200224","4.9","0","3"
"TMK_MN004","1270","20200225","7.3","0","3"
"TMK_MN004","1270","20200226","1.8","0","3"
"TMK_MN004","1270","20200227","1.4","0","3"
"TMK_MN004","1270","20200228","1.9","0","3"
"TMK_MN004","1270","20200229","6.3","0","3"
"TMK_MN004","1270","20200301","6.3","0","3"
"TMK_MN004","1270","20200302","6","0","3"
"TMK_MN004","1270","20200303","3.8","0","3"
"TMK_MN004","1270","20200304","2.1","0","3"
"TMK_MN004","1270","20200305","4.4","0","3"
"TMK_MN004","1270","20200306","5","0","3"
"TMK_MN004","1270","20200307","3.3","0","3"
"TMK_MN004","1270","20200308","5.5","0","3"
"TMK_MN004","1270","20200309","6.3","0","3"
"TMK_MN004","1270","20200310","6.4","0","3"
"TMK_MN004","1270","20200311","9.7","0","3"
"TMK_MN004","1270","20200312","9.4","0","3"
"TMK_MN004","1270","20200313","5.4","0","3"
"TMK_MN004","1270","20200314","4.2","0","3"
"TMK_MN004","1270","20200315","7.1","0","3"
"TMK_MN004","1270","20200316","9.5","0","3"
"TMK_MN004","1270","20200317","8.9","0","3"
"TMK_MN004","1270","20200318","9.8","0","3"
"TMK_MN004","1270","20200319","9.8","0","3"
"TMK_MN004","1270","20200320","5.8","0","3"
"TMK_MN004","1270","20200321","2.6","0","3"
"TMK_MN004","1270","20200322","-0.4","0","3"
"TMK_MN004","1270","20200323","-0.3","0","3"
"TMK_MN004","1270","20200324","0.8","0","3"
"TMK_MN004","1270","20200325","1.5","0","3"
"TMK_MN004","1270","20200326","3.2","0","3"
"TMK_MN004","1270","20200327","7.3","0","3"
"TMK_MN004","1270","20200328","7.2","0","3"
"TMK_MN004","1270","20200329","2","0","3"
"TMK_MN004","1270","20200330","-0.7","0","3"
"TMK_MN004","1270","20200331","0.8","0","3"
"TMK_MN004","1270","20200401","1.6","0","3"
"TMK_MN004","1270","20200402","3.8","0","3"
"TMK_MN004","1270","20200403","5.5","0","3"
"TMK_MN004","1270","20200404","6","0","3"
"TMK_MN004","1270","20200405","9.1","0","3"
"TMK_MN004","1270","20200406","12.8","0","3"
"TMK_MN004","1270","20200407","12.6","0","3"
"TMK_MN004","1270","20200408","12.9","0","3"
"TMK_MN004","1270","20200409","11.7","0","3"
"TMK_MN004","1270","20200410","10.7","0","3"
"TMK_MN004","1270","20200411","9.4","0","3"
"TMK_MN004","1270","20200412","13.5","0","3"
"TMK_MN004","1270","20200413","7.2","0","3"
"TMK_MN004","1270","20200414","3.9","0","3"
"TMK_MN004","1270","20200415","7.3","0","3"
"TMK_MN004","1270","20200416","12.7","0","3"
"TMK_MN004","1270","20200417","12.5","0","3"
"TMK_MN004","1270","20200418","12.6","0","3"
"TMK_MN004","1270","20200419","8.9","0","1"
"TMK_MN004","1270","20200420","8.3","0","1"
"TMK_MN004","1270","20200421","9.8","0","1"
"TMK_MN004","1270","20200422","11.1","0","1"
"TMK_MN004","1270","20200423","12","0","1"
"TMK_MN004","1270","20200424","12.5","0","1"
"TMK_MN004","1270","20200425","9.2","0","1"
"TMK_MN004","1270","20200426","10.2","0","1"
"TMK_MN004","1270","20200427","14","0","1"
"TMK_MN004","1270","20200428","13.1","0","1"
"TMK_MN004","1270","20200429","13.4","0","1"
"TMK_MN004","1270","20200430","11.7","0","1"
"TMK_MN004","1270","20200501","9.7","0","1"
"TMK_MN004","1270","20200502","7.5","0","1"
"TMK_MN004","1270","20200503","9.6","0","1"
"TMK_MN004","1270","20200504","8.2","0","1"
"TMK_MN004","1270","20200505","6.8","0","1"
"TMK_MN004","1270","20200506","8.1","0","1"
"TMK_MN004","1270","20200507","11.9","0","1"
"TMK_MN004","1270","20200508","14.4","0","1"
"TMK_MN004","1270","20200509","15.6","0","1"
"TMK_MN004","1270","20200510","15.3","0","1"
"TMK_MN004","1270","20200511","5","0","1"
"TMK_MN004","1270","20200512","5.1","0","1"
"TMK_MN004","1270","20200513","8","0","1"
"TMK_MN004","1270","20200514","7.7","0","1"
"TMK_MN004","1270","20200515","8.2","0","1"
"TMK_MN004","1270","20200516","9.6","0","1"
"TMK_MN004","1270","20200517","11.4","0","1"
"TMK_MN004","1270","20200518","14.4","0","1"
"TMK_MN004","1270","20200519","15.7","0","1"
"TMK_MN004","1270","20200520","14","0","1"
"TMK_MN004","1270","20200521","14.9","0","1"
"TMK_MN004","1270","20200522","17.8","0","1"
"TMK_MN004","1270","20200523","12.8","0","1"
"TMK_MN004","1270","20200524","11.5","0","1"
"TMK_MN004","1270","20200525","12","0","1"
"TMK_MN004","1270","20200526","11.8","0","1"
"TMK_MN004","1270","20200527","14.9","0","1"
"TMK_MN004","1270","20200528","13.5","0","1"
"TMK_MN004","1270","20200529","13.1","0","1"
"TMK_MN004","1270","20200530","12.3","0","1"
