"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"963","Diepholz","8.342405","52.588112","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300036263"
"4651","Seesen","10.188523","51.903973","186.0","https://cdc.dwd.de/rest/metadata/station/html/812300041255"
"848","Celle (Stadt)","10.072598","52.614642","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300042535"
"13675","Hameln-Hastenbeck","9.407661","52.081826","77.0","https://cdc.dwd.de/rest/metadata/station/html/812300046247"
"2821","Lamspringe","10.0157","51.9603","214.0","https://cdc.dwd.de/rest/metadata/station/html/812300047527"
"4847","Steinberg","9.6902","51.3629","500.0","https://cdc.dwd.de/rest/metadata/station/html/812300052519"
"368","Bergen","9.924809","52.815233","70.0","https://cdc.dwd.de/rest/metadata/station/html/812300093031"
"3093","Lüchow","11.137371","52.972379","16.0","https://cdc.dwd.de/rest/metadata/station/html/812300098023"
"643","Brake-Süderfeld","8.4529","53.296","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300099303"
"6093","Wendisch Evern","10.470375","53.213878","62.0","https://cdc.dwd.de/rest/metadata/station/html/812300103015"
"2005","Hankensbüttel","10.598687","52.719949","108.0","https://cdc.dwd.de/rest/metadata/station/html/812300104295"
"3815","Osnabrück","8.0534","52.2553","95.0","https://cdc.dwd.de/rest/metadata/station/html/812300109287"
"1503","Friesoythe-Altenoythe","7.902205","53.064299","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300154791"
"4857","Mittelnkirchen-Hohenfelde","9.609701","53.553446","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300159783"
"1066","Duderstadt","10.2613","51.504","180.0","https://cdc.dwd.de/rest/metadata/station/html/812300161063"
"3045","Löningen-Hagel","7.8763","52.7432","27.0","https://cdc.dwd.de/rest/metadata/station/html/812300166055"
"5236","Visbek","8.3112","52.8318","51.0","https://cdc.dwd.de/rest/metadata/station/html/812300171047"
"704","Bremervörde","9.13903","53.445118","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300211559"
"3612","Nienburg","9.22291","52.671083","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300216551"
"661","Braunschweig (T.H.)","10.5334","52.2708","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300217831"
"7099","Liebenburg-Othfresen","10.396557","52.011142","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300221543"
"2206","Hildesheim","9.8838","52.1408","117.0","https://cdc.dwd.de/rest/metadata/station/html/812300222823"
"4288","Rothenfelde, Bad","8.180841","52.103832","95.0","https://cdc.dwd.de/rest/metadata/station/html/812300227815"
