"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1832","Großer Arber","13.133791","49.112887","1436.0","https://cdc.dwd.de/rest/metadata/station/html/812300006311"
"4287","Rothenburg ob der Tauber","10.173229","49.384842","415.0","https://cdc.dwd.de/rest/metadata/station/html/812300011303"
"5705","Würzburg","9.957627","49.770378","268.0","https://cdc.dwd.de/rest/metadata/station/html/812300016295"
"125","Altenstadt","10.866723","47.834167","756.0","https://cdc.dwd.de/rest/metadata/station/html/812300018151"
"7412","Neuhütten/Spessart","9.423765","50.008293","340.0","https://cdc.dwd.de/rest/metadata/station/html/812300021287"
"1332","Falkenberg,Kr.Rottal-Inn","12.724136","48.483155","471.0","https://cdc.dwd.de/rest/metadata/station/html/812300023143"
"2680","Königshofen, Bad","10.445599","50.284014","289.0","https://cdc.dwd.de/rest/metadata/station/html/812300028135"
"3621","Reimlingen","10.506667","48.825254","435.0","https://cdc.dwd.de/rest/metadata/station/html/812300033127"
"5046","Tirschenreuth-Lodermühl","12.354218","49.857617","501.0","https://cdc.dwd.de/rest/metadata/station/html/812300073063"
"7105","Siegsdorf-Höll","12.654781","47.835009","719.0","https://cdc.dwd.de/rest/metadata/station/html/812300078055"
"867","Lautertal-Oberlauter","10.967938","50.306639","344.0","https://cdc.dwd.de/rest/metadata/station/html/812300079911"
"2319","Holzkirchen","11.696146","47.882292","685.0","https://cdc.dwd.de/rest/metadata/station/html/812300084903"
"3307","Mittenwald-Buckelwiesen","11.265311","47.477866","984.0","https://cdc.dwd.de/rest/metadata/station/html/812300089895"
"4548","Selb/Oberfranken-Lauterbach","12.143497","50.204681","608.0","https://cdc.dwd.de/rest/metadata/station/html/812300129831"
"5941","Reit im Winkl","12.469775","47.675415","686.0","https://cdc.dwd.de/rest/metadata/station/html/812300134823"
"154","Amerang-Pfaffing","12.292473","48.019737","516.0","https://cdc.dwd.de/rest/metadata/station/html/812300136679"
"13710","Landshut-Reithof","12.257556","48.57337","490.0","https://cdc.dwd.de/rest/metadata/station/html/812300139815"
"1550","Garmisch-Partenkirchen","11.062126","47.482989","719.0","https://cdc.dwd.de/rest/metadata/station/html/812300141671"
"2750","Kronach","11.32093","50.252336","312.0","https://cdc.dwd.de/rest/metadata/station/html/812300146663"
"3679","Kiefersfelden-Gach","12.166532","47.618701","518.0","https://cdc.dwd.de/rest/metadata/station/html/812300151655"
"5397","Weiden","12.184464","49.666262","440.0","https://cdc.dwd.de/rest/metadata/station/html/812300191591"
