"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2315","Holzdorf (Flugplatz)","13.166637","51.765723","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300026279"
"6265","Wusterwitz","12.386695","52.361259","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300031271"
"2856","Langenlipsdorf","13.087762","51.917335","91.0","https://cdc.dwd.de/rest/metadata/station/html/812300144807"
"427","Berlin-Schönefeld","13.530609","52.380698","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300201575"
"5643","Wittstock-Rote Mühle","12.494905","53.186438","66.0","https://cdc.dwd.de/rest/metadata/station/html/812300206567"
"3083","Lübben-Blumenfelde","13.879699","51.926689","57.0","https://cdc.dwd.de/rest/metadata/station/html/812300263335"
"1869","Grünow","13.933754","53.315317","56.0","https://cdc.dwd.de/rest/metadata/station/html/812300320103"
"6170","Coschen","14.725443","52.019183","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300325095"
"3509","Menz","13.042072","53.101974","77.0","https://cdc.dwd.de/rest/metadata/station/html/812300381863"
"2794","Kyritz","12.409342","52.936312","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300438631"
"7389","Heckelberg","13.842702","52.746142","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300443623"
"303","Baruth","13.499617","52.061419","55.0","https://cdc.dwd.de/rest/metadata/station/html/812300495399"
"5546","Wiesenburg","12.458539","52.120651","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300500391"
"3015","Lindenberg","14.117973","52.208491","98.0","https://cdc.dwd.de/rest/metadata/station/html/812300557159"
"1001","Doberlug-Kirchhain","13.574676","51.645104","97.0","https://cdc.dwd.de/rest/metadata/station/html/812300613927"
"5825","Berge","12.786684","52.619829","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300618919"
"3376","Müncheberg","14.123226","52.517588","63.0","https://cdc.dwd.de/rest/metadata/station/html/812300675687"
"2627","Klettwitz","13.884528","51.555433","128.0","https://cdc.dwd.de/rest/metadata/station/html/812300732455"
"164","Angermünde","13.99082","53.031558","54.0","https://cdc.dwd.de/rest/metadata/station/html/812300789223"
"3987","Potsdam","13.062229","52.381287","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300794215"
"2951","Lenzen/Elbe","11.486414","53.100708","20.0","https://cdc.dwd.de/rest/metadata/station/html/812300850983"
"880","Cottbus","14.316811","51.775983","69.0","https://cdc.dwd.de/rest/metadata/station/html/812300907751"
"5745","Zehdenick","13.326781","52.966353","51.0","https://cdc.dwd.de/rest/metadata/station/html/812300912743"
"3158","Manschnow","14.545212","52.546827","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300969511"
"96","Neuruppin-Alt Ruppin","12.851826","52.943711","50.0","https://cdc.dwd.de/rest/metadata/station/html/812301005418"
