"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"596","Boltenhagen","11.190772","54.002806","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300014439"
"6109","Grambow-Schwennenz","14.372794","53.38369","50.0","https://cdc.dwd.de/rest/metadata/station/html/812300019431"
"4271","Rostock-Warnemünde","12.080806","54.180279","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300076199"
"1759","Greifswalder Oie","13.9102","54.2437","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300132967"
"7351","Feldberg/Mecklenburg","13.417466","53.317538","115.0","https://cdc.dwd.de/rest/metadata/station/html/812300137959"
"167","Anklam","13.684647","53.84119","9.0","https://cdc.dwd.de/rest/metadata/station/html/812300189735"
"5097","Tribsees","12.767516","54.066058","10.0","https://cdc.dwd.de/rest/metadata/station/html/812300194727"
"2578","Kirchdorf/Poel","11.434142","53.999513","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300251495"
"591","Boizenburg","10.687761","53.391084","45.0","https://cdc.dwd.de/rest/metadata/station/html/812300308263"
"5349","Waren (Müritz)","12.665404","53.519622","73.0","https://cdc.dwd.de/rest/metadata/station/html/812300313255"
"4024","Putbus","13.47709","54.36426","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300370023"
"1757","Greifswald","13.405576","54.096736","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300426791"
"6310","Karlshagen","13.823906","54.104896","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300431783"
"5009","Teterow","12.557403","53.761044","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300488551"
"2201","Hiddensee-Vitte","13.104393","54.574957","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300545319"
"298","Barth","12.710828","54.340582","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300602087"
"5142","Ueckermünde","14.069699","53.744431","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300607079"
"3196","Marnitz","11.931949","53.322288","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300663847"
"1694","Goldberg","12.103307","53.606015","58.0","https://cdc.dwd.de/rest/metadata/station/html/812300720615"
"6199","Steinhagen-Negast","13.041849","54.248388","16.0","https://cdc.dwd.de/rest/metadata/station/html/812300725607"
"4625","Schwerin","11.387203","53.642521","59.0","https://cdc.dwd.de/rest/metadata/station/html/812300782375"
"1803","Groß Lüsewitz","12.32378","54.071372","34.0","https://cdc.dwd.de/rest/metadata/station/html/812300839143"
"183","Arkona","13.434252","54.67916","42.0","https://cdc.dwd.de/rest/metadata/station/html/812300895911"
"5109","Trollenhagen","13.3039","53.5997","69.0","https://cdc.dwd.de/rest/metadata/station/html/812300900903"
"2796","Laage (Flugplatz)","12.278987","53.915597","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300957671"
