"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"963","Diepholz","8.342405","52.588112","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300036263"
"4651","Seesen","10.188523","51.903973","186.0","https://cdc.dwd.de/rest/metadata/station/html/812300041255"
"13675","Hameln-Hastenbeck","9.407661","52.081826","77.0","https://cdc.dwd.de/rest/metadata/station/html/812300046247"
"368","Bergen","9.924809","52.815233","70.0","https://cdc.dwd.de/rest/metadata/station/html/812300093031"
"3093","Lüchow","11.137371","52.972379","16.0","https://cdc.dwd.de/rest/metadata/station/html/812300098023"
"6093","Wendisch Evern","10.470375","53.213878","62.0","https://cdc.dwd.de/rest/metadata/station/html/812300103015"
"1503","Friesoythe-Altenoythe","7.902205","53.064299","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300154791"
"4857","Mittelnkirchen-Hohenfelde","9.609701","53.553446","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300159783"
"704","Bremervörde","9.13903","53.445118","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300211559"
"3612","Nienburg","9.22291","52.671083","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300216551"
"7099","Liebenburg-Othfresen","10.396557","52.011142","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300221543"
"78","Alfhausen","7.912553","52.485314","65.0","https://cdc.dwd.de/rest/metadata/station/html/812300268327"
"2174","Herzberg","10.369512","51.625476","238.0","https://cdc.dwd.de/rest/metadata/station/html/812300273319"
"5640","Wittmundhafen","7.667164","53.550377","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300278311"
"891","Cuxhaven","8.705821","53.871254","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300330087"
"4275","Rotenburg (Wümme)","9.339751","53.128845","32.0","https://cdc.dwd.de/rest/metadata/station/html/812300335079"
"760","Rosengarten-Klecken","9.943536","53.362898","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300336359"
"7432","Wittingen-Vorhop","10.662715","52.642293","72.0","https://cdc.dwd.de/rest/metadata/station/html/812300340071"
"342","Belm","8.16943","52.317043","103.0","https://cdc.dwd.de/rest/metadata/station/html/812300386855"
"5839","Emden","7.228703","53.388079","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300396839"
"1451","Freiburg/Elbe","9.249276","53.827696","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300448615"
"4841","Steinau, Kr. Cuxhaven","8.873515","53.694589","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300453607"
"662","Braunschweig","10.446448","52.291469","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300505383"
"6159","Dörpen","7.319582","52.954182","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300515367"
"44","Großenkneten","8.237038","52.933597","44.0","https://cdc.dwd.de/rest/metadata/station/html/812300562151"
"2014","Hannover","9.677917","52.464425","58.0","https://cdc.dwd.de/rest/metadata/station/html/812300567143"
"5146","Uelzen","10.528857","52.941435","50.0","https://cdc.dwd.de/rest/metadata/station/html/812300572135"
"850","Celle","10.029573","52.595933","39.0","https://cdc.dwd.de/rest/metadata/station/html/812300623911"
"3639","Nordholz (Flugplatz)","8.658329","53.764673","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300628903"
"7373","Borkum-Flugplatz","6.702358","53.598388","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300633895"
"294","Barsinghausen-Hohenbostel","9.429984","52.31985","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300680679"
"3023","Lingen","7.308057","52.518093","22.0","https://cdc.dwd.de/rest/metadata/station/html/812300685671"
"5715","Wunstorf","9.431127","52.46051","57.0","https://cdc.dwd.de/rest/metadata/station/html/812300690663"
"1339","Faßberg","10.188545","52.915652","73.0","https://cdc.dwd.de/rest/metadata/station/html/812300742439"
"4745","Soltau","9.793049","52.960408","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300747431"
"13777","Helmstedt-Emmerstedt","10.959196","52.246667","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300752423"
"656","Braunlage","10.602109","51.723383","607.0","https://cdc.dwd.de/rest/metadata/station/html/812300799207"
"3254","Meppen","7.317629","52.715579","19.0","https://cdc.dwd.de/rest/metadata/station/html/812300804199"
"6157","Wangerland-Hooksiel","8.080849","53.641047","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300809191"
"2039","Harzburg, Bad","10.569851","51.900249","201.0","https://cdc.dwd.de/rest/metadata/station/html/812300810471"
"1691","Göttingen","9.950659","51.500248","167.0","https://cdc.dwd.de/rest/metadata/station/html/812300860967"
"5014","Worpswede-Hüttenbusch","8.985687","53.275827","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300865959"
"769","Bückeburg","9.088939","52.281732","68.0","https://cdc.dwd.de/rest/metadata/station/html/812300917735"
"3631","Norderney","7.151923","53.712304","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300922727"
"7367","Alfeld","9.80717","51.964331","144.0","https://cdc.dwd.de/rest/metadata/station/html/812300927719"
"102","Leuchtturm Alte Weser","8.1275","53.86333","32.0","https://cdc.dwd.de/rest/metadata/station/html/812300974503"
"5822","Bassum","8.698827","52.86304","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300975038"
"2323","Bevern, Kr. Holzminden","9.495274","51.85294","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300979495"
"5676","Wolfsburg (Südwest)","10.689225","52.396186","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300984487"
