"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2947","Lennestadt-Theten","8.034831","51.133253","286.0","https://cdc.dwd.de/rest/metadata/station/html/812300051239"
"6197","Lügde-Paenbruch","9.270852","51.866435","258.0","https://cdc.dwd.de/rest/metadata/station/html/812300056231"
"1246","Ennigerloh-Ostenfelde","8.060717","51.841775","104.0","https://cdc.dwd.de/rest/metadata/station/html/812300068071"
"1590","Geldern-Walbeck","6.246343","51.494168","37.0","https://cdc.dwd.de/rest/metadata/station/html/812300108007"
"15000","Aachen-Orsbach","6.02439","50.798281","231.0","https://cdc.dwd.de/rest/metadata/station/html/812300117991"
"3031","Lippstadt-Bökenförde","8.39445","51.633617","92.0","https://cdc.dwd.de/rest/metadata/station/html/812300169767"
"7106","Bielefeld-Deppendorf","8.456493","52.071449","105.0","https://cdc.dwd.de/rest/metadata/station/html/812300174759"
"2483","Kahler Asten","8.489068","51.180254","839.0","https://cdc.dwd.de/rest/metadata/station/html/812300226535"
"5064","Tönisvorst","6.443651","51.289722","37.0","https://cdc.dwd.de/rest/metadata/station/html/812300231527"
"1078","Düsseldorf","6.768648","51.295952","37.0","https://cdc.dwd.de/rest/metadata/station/html/812300283303"
"3591","Nideggen-Schmidt","6.423998","50.674261","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300288295"
"13670","Duisburg-Baerl","6.701773","51.508794","24.0","https://cdc.dwd.de/rest/metadata/station/html/812300293287"
"2667","Köln-Bonn","7.157488","50.864559","92.0","https://cdc.dwd.de/rest/metadata/station/html/812300345063"
"5717","Wuppertal-Buchenhofen","7.105176","51.225598","134.0","https://cdc.dwd.de/rest/metadata/station/html/812300350055"
"4127","Reichshof-Eckenhagen","7.695847","50.990636","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300361895"
"1327","Weilerswist-Lommersum","6.790489","50.711886","147.0","https://cdc.dwd.de/rest/metadata/station/html/812300401831"
"13713","Meinerzhagen-Redlendorf","7.628924","51.089851","386.0","https://cdc.dwd.de/rest/metadata/station/html/812300411815"
"390","Berleburg, Bad-Stünzel","8.368331","50.983713","610.0","https://cdc.dwd.de/rest/metadata/station/html/812300458599"
"3028","Lippspringe, Bad","8.838777","51.785459","157.0","https://cdc.dwd.de/rest/metadata/station/html/812300463591"
"6337","Lüdinghausen-Brochtrup","7.519387","51.766342","59.0","https://cdc.dwd.de/rest/metadata/station/html/812300468583"
"2110","Heinsberg-Schleiden","6.104239","51.041072","57.0","https://cdc.dwd.de/rest/metadata/station/html/812300520359"
"617","Borken in Westfalen","6.886297","51.873046","47.0","https://cdc.dwd.de/rest/metadata/station/html/812300577127"
"3540","Neunkirchen-Seelscheid-Krawinkel","7.371973","50.844636","195.0","https://cdc.dwd.de/rest/metadata/station/html/812300582119"
"7374","Ahaus","6.940958","52.08141","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300587111"
"2629","Kleve","6.095381","51.761242","46.0","https://cdc.dwd.de/rest/metadata/station/html/812300638887"
"5480","Werl","7.887922","51.576347","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300643879"
"1303","Essen-Bredeney","6.967741","51.404085","150.0","https://cdc.dwd.de/rest/metadata/station/html/812300695655"
"4063","Rahden-Kleinendorf","8.590574","52.446122","41.0","https://cdc.dwd.de/rest/metadata/station/html/812300700647"
"13700","Gevelsberg-Oberbröking","7.341099","51.332896","205.0","https://cdc.dwd.de/rest/metadata/station/html/812300705639"
"2968","Köln-Stammheim","6.977688","50.989428","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300757415"
"6264","Brilon-Thülen","8.649983","51.413998","457.0","https://cdc.dwd.de/rest/metadata/station/html/812300762407"
"1766","Münster/Osnabrück","7.696854","52.13437","48.0","https://cdc.dwd.de/rest/metadata/station/html/812300814183"
"4371","Salzuflen, Bad","8.75208","52.104211","135.0","https://cdc.dwd.de/rest/metadata/station/html/812300819175"
"603","Königswinter-Heiderhof","7.204691","50.729022","144.0","https://cdc.dwd.de/rest/metadata/station/html/812300870951"
"3098","Lüdenscheid","7.642497","51.245158","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300875943"
"7330","Arnsberg-Neheim","7.97797","51.46332","159.0","https://cdc.dwd.de/rest/metadata/station/html/812300880935"
"2497","Kall-Sistig","6.526408","50.50141","505.0","https://cdc.dwd.de/rest/metadata/station/html/812300932711"
"5347","Warburg","9.111751","51.503989","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300937703"
"1300","Eslohe","8.15653","51.25399","351.0","https://cdc.dwd.de/rest/metadata/station/html/812300989479"
"3623","Nörvenich (Flugplatz)","6.660172","50.829376","111.0","https://cdc.dwd.de/rest/metadata/station/html/812300994471"
"13696","Waltrop-Abdinghof","7.40487","51.59662","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300999463"
