"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2486","Kaiserslautern","7.755714","49.426213","271.0","https://cdc.dwd.de/rest/metadata/station/html/812300048103"
"766","Büchel (Flugplatz)","7.059526","50.174627","477.0","https://cdc.dwd.de/rest/metadata/station/html/812300104871"
"4508","Schneifelforsthaus","6.419387","50.296848","649.0","https://cdc.dwd.de/rest/metadata/station/html/812300109863"
"3167","Marienberg, Bad","7.96026","50.662059","547.0","https://cdc.dwd.de/rest/metadata/station/html/812300166631"
"1964","Olsdorf","6.38211","49.944479","328.0","https://cdc.dwd.de/rest/metadata/station/html/812300223399"
"5100","Trier-Petrisberg","6.658227","49.747889","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300228391"
"150","Alzey","8.116356","49.7273","215.0","https://cdc.dwd.de/rest/metadata/station/html/812300280167"
"3660","Nürburg-Barweiler","6.869676","50.360141","485.0","https://cdc.dwd.de/rest/metadata/station/html/812300285159"
"2385","Idar-Oberstein","7.326355","49.692727","376.0","https://cdc.dwd.de/rest/metadata/station/html/812300341927"
"5871","Hahn","7.264522","49.946242","497.0","https://cdc.dwd.de/rest/metadata/station/html/812300346919"
"535","Blankenrath","7.307861","50.037229","417.0","https://cdc.dwd.de/rest/metadata/station/html/812300398695"
"4323","Ruppertsecken","7.883741","49.646838","461.0","https://cdc.dwd.de/rest/metadata/station/html/812300403687"
"3155","Manderscheid-Sonnenhof","6.800909","50.101542","413.0","https://cdc.dwd.de/rest/metadata/station/html/812300460455"
"1072","Dürkheim, Bad","8.192896","49.471913","107.0","https://cdc.dwd.de/rest/metadata/station/html/812300517223"
"5099","Trier-Zewen","6.613147","49.732632","132.0","https://cdc.dwd.de/rest/metadata/station/html/812300522215"
"3490","Neuenahr, Bad-Ahrweiler","7.085337","50.534561","111.0","https://cdc.dwd.de/rest/metadata/station/html/812300578983"
"2362","Hümmerich","7.484345","50.565053","328.0","https://cdc.dwd.de/rest/metadata/station/html/812300635751"
"5692","Worms","8.365906","49.605078","88.0","https://cdc.dwd.de/rest/metadata/station/html/812300640743"
"377","Bergzabern, Bad","7.996749","49.107025","210.0","https://cdc.dwd.de/rest/metadata/station/html/812300692519"
"4301","Kreuznach, Bad","7.871018","49.850173","102.0","https://cdc.dwd.de/rest/metadata/station/html/812300697511"
"3137","Mainz-Lerchenberg (ZDF)","8.213852","49.965563","195.0","https://cdc.dwd.de/rest/metadata/station/html/812300754279"
"953","Deuselbach","7.054249","49.761875","481.0","https://cdc.dwd.de/rest/metadata/station/html/812300811047"
"4709","Simmern-Wahlbach","7.59812","49.99959","445.0","https://cdc.dwd.de/rest/metadata/station/html/812300816039"
"3340","Montabaur","7.806121","50.438264","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300872807"
"2211","Hilgenroth","7.652755","50.737065","295.0","https://cdc.dwd.de/rest/metadata/station/html/812300929575"
"5426","Weinbiet","8.121278","49.375835","553.0","https://cdc.dwd.de/rest/metadata/station/html/812300934567"
"161","Andernach","7.420164","50.423672","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300986343"
"3939","Pirmasens","7.5879","49.191191","385.0","https://cdc.dwd.de/rest/metadata/station/html/812300991335"
