"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"5629","Wittenberg","12.644523","51.889183","105.0","https://cdc.dwd.de/rest/metadata/station/html/812300058087"
"2878","Lauchstädt, Bad","11.878834","51.391016","118.0","https://cdc.dwd.de/rest/metadata/station/html/812300097447"
"3821","Osterfeld","11.929202","51.087299","246.0","https://cdc.dwd.de/rest/metadata/station/html/812300114855"
"1544","Gardelegen","11.394131","52.512914","47.0","https://cdc.dwd.de/rest/metadata/station/html/812300171623"
"6273","Demker","11.855089","52.507485","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300176615"
"4445","Wernigerode-Schierke","10.65328","51.765838","609.0","https://cdc.dwd.de/rest/metadata/station/html/812300233383"
"2044","Harzgerode","11.136687","51.651998","404.0","https://cdc.dwd.de/rest/metadata/station/html/812300290151"
"4878","Oberharz am Brocken-Stiege","10.881071","51.664645","504.0","https://cdc.dwd.de/rest/metadata/station/html/812300334503"
"5490","Wernigerode","10.768627","51.845421","233.0","https://cdc.dwd.de/rest/metadata/station/html/812300351911"
"3226","Aschersleben-Mehringen","11.510942","51.725946","107.0","https://cdc.dwd.de/rest/metadata/station/html/812300408679"
"1052","Drewitz bei Burg","12.164088","52.217417","80.0","https://cdc.dwd.de/rest/metadata/station/html/812300465447"
"6266","Huy-Pabstorf","10.962603","52.030421","112.0","https://cdc.dwd.de/rest/metadata/station/html/812300470439"
"4036","Querfurt-Mühle Lodersleben","11.541221","51.389498","204.0","https://cdc.dwd.de/rest/metadata/station/html/812300527207"
"722","Brocken","10.618265","51.79862","1134.0","https://cdc.dwd.de/rest/metadata/station/html/812300537191"
"7420","Naumburg/Saale-Kreipitzsch","11.711157","51.10439","246.0","https://cdc.dwd.de/rest/metadata/station/html/812300588967"
"5158","Ummendorf","11.175899","52.160135","162.0","https://cdc.dwd.de/rest/metadata/station/html/812300645735"
"3126","Magdeburg","11.582678","52.102889","76.0","https://cdc.dwd.de/rest/metadata/station/html/812300702503"
"445","Bernburg/Saale (Nord)","11.71098","51.821792","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300759271"
"5750","Zeitz","12.14949","51.031411","264.0","https://cdc.dwd.de/rest/metadata/station/html/812300764263"
"4032","Quedlinburg","11.131995","51.795344","142.0","https://cdc.dwd.de/rest/metadata/station/html/812300821031"
"1605","Genthin","12.160084","52.387515","35.0","https://cdc.dwd.de/rest/metadata/station/html/812300877799"
"7364","Jeßnitz","12.304244","51.681979","74.0","https://cdc.dwd.de/rest/metadata/station/html/812300882791"
"4642","Seehausen","11.729697","52.891136","21.0","https://cdc.dwd.de/rest/metadata/station/html/812300939559"
"2704","Köthen (Anhalt)","12.009371","51.751052","76.0","https://cdc.dwd.de/rest/metadata/station/html/812300996327"
