"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"3426","Muskau, Bad","14.70081","51.565979","127.0","https://cdc.dwd.de/rest/metadata/station/html/812300001319"
"3166","Marienberg","13.14694","50.651004","639.0","https://cdc.dwd.de/rest/metadata/station/html/812300054951"
"1048","Dresden-Klotzsche","13.754338","51.127955","227.0","https://cdc.dwd.de/rest/metadata/station/html/812300059367"
"840","Carlsfeld","12.611403","50.431326","897.0","https://cdc.dwd.de/rest/metadata/station/html/812300116135"
"5779","Zinnwald-Georgenfeld","13.751594","50.731376","877.0","https://cdc.dwd.de/rest/metadata/station/html/812300119847"
"2252","Bertsdorf-Hörnitz","14.745653","50.899046","270.0","https://cdc.dwd.de/rest/metadata/station/html/812300156071"
"1050","Dresden-Hosterwitz","13.847042","51.022075","114.0","https://cdc.dwd.de/rest/metadata/station/html/812300177895"
"2928","Leipzig-Holzhausen","12.446226","51.315067","138.0","https://cdc.dwd.de/rest/metadata/station/html/812300186023"
"6314","Nossen","13.300267","51.050689","308.0","https://cdc.dwd.de/rest/metadata/station/html/812300238375"
"2932","Leipzig/Halle","12.239622","51.43479","131.0","https://cdc.dwd.de/rest/metadata/station/html/812300257767"
"1207","Elster, Bad-Sohl","12.274185","50.27046","560.0","https://cdc.dwd.de/rest/metadata/station/html/812300269607"
"131","Geringswalde-Altgeringswalde","12.932614","51.088055","296.0","https://cdc.dwd.de/rest/metadata/station/html/812300291431"
"3234","Garsebach bei Meißen","13.432783","51.129431","158.0","https://cdc.dwd.de/rest/metadata/station/html/812300295143"
"7393","Hoyerswerda","14.253251","51.449321","116.0","https://cdc.dwd.de/rest/metadata/station/html/812300356903"
"2985","Lichtenhain-Mittelndorf","14.209276","50.938331","321.0","https://cdc.dwd.de/rest/metadata/station/html/812300400551"
"314","Kubschütz, Kr. Bautzen","14.504184","51.160383","234.0","https://cdc.dwd.de/rest/metadata/station/html/812300409959"
"3946","Plauen","12.130014","50.481883","386.0","https://cdc.dwd.de/rest/metadata/station/html/812300413671"
"1684","Görlitz","14.950565","51.162151","238.0","https://cdc.dwd.de/rest/metadata/station/html/812300449895"
"2641","Klitzschen bei Torgau","12.9065","51.518534","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300479847"
"6129","Sohland/Spree","14.42661","51.059341","290.0","https://cdc.dwd.de/rest/metadata/station/html/812300532199"
"1051","Dresden-Strehlen","13.774985","51.024829","120.0","https://cdc.dwd.de/rest/metadata/station/html/812300563431"
"991","Dippoldiswalde-Reinberg","13.708675","50.911626","359.0","https://cdc.dwd.de/rest/metadata/station/html/812300647015"
"7343","Deutschneudorf-Brüderwiese","13.481591","50.619911","688.0","https://cdc.dwd.de/rest/metadata/station/html/812300650727"
"3811","Oschatz","13.092837","51.295965","150.0","https://cdc.dwd.de/rest/metadata/station/html/812300707495"
"853","Chemnitz","12.871977","50.791286","418.0","https://cdc.dwd.de/rest/metadata/station/html/812300822311"
"5797","Lichtentanne","12.432932","50.687847","353.0","https://cdc.dwd.de/rest/metadata/station/html/812300826023"
"1358","Fichtelberg","12.953506","50.428346","1213.0","https://cdc.dwd.de/rest/metadata/station/html/812300831015"
"7329","Treuen","12.2863","50.5467","465.0","https://cdc.dwd.de/rest/metadata/station/html/812300944551"
"222","Aue","12.714005","50.590707","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300997607"
