"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"3086","Lübeck-Blankensee","10.698941","53.802512","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300024423"
"2306","Hohwacht","10.673193","54.319391","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300081191"
"6163","Dörnick","10.351887","54.165444","27.0","https://cdc.dwd.de/rest/metadata/station/html/812300094887"
"4393","Sankt Peter-Ording","8.603056","54.327907","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300142951"
"2564","Kiel-Holtenau","10.142375","54.377582","28.0","https://cdc.dwd.de/rest/metadata/station/html/812300199719"
"1666","Glücksburg-Meierwik","9.5058","54.8273","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300256487"
"5280","Wittenborn","10.226738","53.922412","35.0","https://cdc.dwd.de/rest/metadata/station/html/812300261479"
"3032","List auf Sylt","8.412531","55.010989","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300318247"
"2303","Hohn","9.538997","54.314596","10.0","https://cdc.dwd.de/rest/metadata/station/html/812300375015"
"6105","Ostenfeld (Rendsburg)","9.80512","54.319385","14.0","https://cdc.dwd.de/rest/metadata/station/html/812300380007"
"4039","Quickborn","9.87757","53.733089","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300436775"
"2437","Schleswig-Jagel","9.520316","54.45696","21.0","https://cdc.dwd.de/rest/metadata/station/html/812300493543"
"7427","Padenstedt (Pony-Park)","9.925507","54.018844","17.0","https://cdc.dwd.de/rest/metadata/station/html/812300507239"
"1266","Erfde","9.316185","54.299212","18.0","https://cdc.dwd.de/rest/metadata/station/html/812300550311"
"4896","Wagersrott","9.805022","54.665383","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300555303"
"2961","Leuchtturm Kiel","10.273687","54.499614","31.0","https://cdc.dwd.de/rest/metadata/station/html/812300612071"
"2115","Helgoland","7.891995","54.174971","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300668839"
"5930","Schönhagen (Ostseebad)","10.02377","54.640986","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300673831"
"3897","Pelzerhaken","10.877341","54.08933","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300730599"
"2429","Itzehoe","9.569639","53.989745","21.0","https://cdc.dwd.de/rest/metadata/station/html/812300787367"
"7298","Hattstedt","9.042461","54.526755","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300801063"
"1200","Elpersbüttel","9.010547","54.069146","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300844135"
"4466","Schleswig","9.548666","54.527539","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300849127"
"2907","Leck","8.951446","54.790294","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300905895"
"1736","Grambek","10.679686","53.573115","27.0","https://cdc.dwd.de/rest/metadata/station/html/812300962663"
"5516","Fehmarn","11.060556","54.528292","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300967655"
