"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1612","Gera-Leumnitz","12.128858","50.881268","311.0","https://cdc.dwd.de/rest/metadata/station/html/812300038119"
"6305","Mühlhausen/Thüringen-Görmar","10.497829","51.206117","193.0","https://cdc.dwd.de/rest/metadata/station/html/812300043111"
"2925","Leinefelde","10.312345","51.393291","356.0","https://cdc.dwd.de/rest/metadata/station/html/812300156647"
"7419","Langenwetzendorf-Göttendorf","12.075595","50.661008","389.0","https://cdc.dwd.de/rest/metadata/station/html/812300161639"
"198","Artern","11.291977","51.374461","164.0","https://cdc.dwd.de/rest/metadata/station/html/812300213415"
"4997","Starkenberg-Tegkwitz","12.341909","50.977086","196.0","https://cdc.dwd.de/rest/metadata/station/html/812300218407"
"3231","Meiningen","10.377105","50.561159","450.0","https://cdc.dwd.de/rest/metadata/station/html/812300275175"
"1411","Birx/Rhön","10.048014","50.530884","745.0","https://cdc.dwd.de/rest/metadata/station/html/812300331943"
"6272","Moorgrund Gräfen-Nitzendorf","10.251823","50.842611","283.0","https://cdc.dwd.de/rest/metadata/station/html/812300336935"
"4464","Schleiz","11.804085","50.567906","501.0","https://cdc.dwd.de/rest/metadata/station/html/812300393703"
"2618","Kleiner Inselsberg","10.480262","50.845847","732.0","https://cdc.dwd.de/rest/metadata/station/html/812300450471"
"7368","Eisenach","10.362107","51.000728","312.0","https://cdc.dwd.de/rest/metadata/station/html/812300455463"
"4605","Schwarzburg","11.193618","50.64406","277.0","https://cdc.dwd.de/rest/metadata/station/html/812300512231"
"3204","Martinroda","10.881516","50.733481","429.0","https://cdc.dwd.de/rest/metadata/station/html/812300568999"
"13711","Krölpa-Rockendorf","11.515024","50.681954","289.0","https://cdc.dwd.de/rest/metadata/station/html/812300573991"
"1270","Erfurt-Weimar","10.960808","50.982859","316.0","https://cdc.dwd.de/rest/metadata/station/html/812300625767"
"5424","Weimar-Schöndorf","11.354409","51.01765","328.0","https://cdc.dwd.de/rest/metadata/station/html/812300630759"
"3513","Neuhaus am Rennweg","11.134394","50.500232","845.0","https://cdc.dwd.de/rest/metadata/station/html/812300687527"
"2444","Jena (Sternwarte)","11.582984","50.925141","155.0","https://cdc.dwd.de/rest/metadata/station/html/812300744295"
"7321","Olbersleben","11.332074","51.150665","160.0","https://cdc.dwd.de/rest/metadata/station/html/812300749287"
"4501","Schmücke","10.769332","50.654562","937.0","https://cdc.dwd.de/rest/metadata/station/html/812300806055"
"3034","Lobenstein, Bad","11.634967","50.450515","500.0","https://cdc.dwd.de/rest/metadata/station/html/812300862823"
"7428","Veilsdorf","10.815607","50.41672","397.0","https://cdc.dwd.de/rest/metadata/station/html/812300867815"
"896","Dachwig","10.861875","51.077772","170.0","https://cdc.dwd.de/rest/metadata/station/html/812300919591"
"5335","Waltershausen","10.548421","50.896257","348.0","https://cdc.dwd.de/rest/metadata/station/html/812300924583"
"3289","Schmieritz-Weltwitz","11.783769","50.728119","356.0","https://cdc.dwd.de/rest/metadata/station/html/812300981351"
"379","Berka, Bad (Flugplatz)","11.266503","50.907431","303.0","https://cdc.dwd.de/rest/metadata/station/html/812301001980"
